work,id,t,axis_t,axis_r,axis_m,axis_g,axis_q,priority,axis_t_source,axis_r_source,axis_m_source,axis_g_source,axis_q_source,priority_source
孤儿大师之子.md,WL-WORK-3024,T6,T6 当代全球文学,R5 北美文学,M5 战后与当代美学范式,G3 小说,QH3 身份、身体与归属,△,existing,existing,existing,existing,t_default,existing
孤岛之谜.md,WL-WORK-0184,T6,T6 当代全球文学,R2 东亚文学,M5 战后与当代美学范式,G3 小说,QT1 推理与犯罪叙事,△,existing,existing,existing,existing,existing,existing
孤岛之鬼.md,WL-WORK-0150,T4,T4 全球现代主义时代,R2 东亚文学,M3 现代主义与先锋派,G3 小说,QT1 推理与犯罪叙事,△,existing,existing,existing,existing,existing,existing
孤独的伦敦人.md,WL-WORK-1667,T5,T5 二战后多极文学,R6 拉丁美洲与加勒比,M5 战后与当代美学范式,G3 小说,QH6 战争、暴力与创伤,★,existing,existing,existing,existing,topic_direct,existing
孤鸽镇.md,WL-WORK-2502,T6,T6 当代全球文学,R5 北美文学,M5 战后与当代美学范式,G3 小说,QT8 英雄、边疆与法外者文化传统 | QT8.5 西部,△,existing,existing,existing,existing,existing,existing
孩子，你别哭.md,WL-WORK-1064,T5,T5 二战后多极文学,R7 非洲文学,M5 战后与当代美学范式 | M4 集体文学运动与文化政治,G3 小说,QH2.5 童年与成长 | QH6 战争、暴力与创伤,△,existing,existing,existing,existing,existing,existing
孪生兄弟.md,WL-WORK-R1-MENAECHMI,T0,T0 文学源头与古代文学,R1 西亚—地中海古老传统,,G3 小说,QH8 信仰、伦理与超越,◆,existing,existing,not_applicable_pre_modern,t_default,t_default,other_topic
孽子.md,WL-WORK-2706,T6,T6 当代全球文学,R2 东亚文学,M3.1 现代主义 / Modernism,G3 小说,QH2.3 家庭与家族 | QH3.1 性别与身体,△,existing,existing,existing,existing,existing,existing
它.md,WL-WORK-0663,T6,T6 当代全球文学,R5 北美文学,M5 战后与当代美学范式,G3 小说,QT4 恐怖与哥特,△,existing,existing,existing,existing,existing,existing
宇宙云雀.md,WL-WORK-0288,T4,T4 全球现代主义时代,R5 北美文学,M3 现代主义与先锋派,G3 小说,QT2 科幻,△,existing,existing,existing,existing,existing,existing
宇宙奇趣全集.md,WL-WORK-1669,T5,T5 二战后多极文学,R4 欧洲文学,M5 战后与当代美学范式,G3 小说,QH6 战争、暴力与创伤,★,existing,existing,existing,existing,topic_direct,existing
守产人.md,WL-WORK-3040,T5,T5 二战后多极文学,R7 非洲文学,M5 战后与当代美学范式,G3 小说,QH5 权力、制度与秩序,△,existing,existing,existing,existing,mechanism,existing
守夜.md,WL-WORK-1065,T6,T6 当代全球文学,R4 欧洲文学,M5 战后与当代美学范式,G3 小说,QT7 历史叙事,△,existing,existing,existing,existing,existing,existing
守屋人.md,WL-WORK-2991,T5,T5 二战后多极文学,R5 北美文学,M5 战后与当代美学范式,G3 小说,QH6 战争、暴力与创伤,△,existing,existing,existing,existing,mechanism,existing
安伯森家族.md,WL-WORK-2959,T4,T4 全球现代主义时代,R5 北美文学,M3 现代主义与先锋派,G3 小说,QH1 自我、存在与生命,△,existing,existing,existing,existing,t_default,existing
安妮日记.md,WL-WORK-1066,T5,T5 二战后多极文学,R4 欧洲文学,M5 战后与当代美学范式,G3 小说,QT7 历史叙事 | QH6 战争、暴力与创伤,★,existing,existing,existing,existing,existing,existing
安娜·卡列尼娜.md,WL-WORK-1067,T3,T3 19世纪现代文学体系,R4 欧洲文学,M2 19世纪文学思潮 | M2 19世纪文学思潮 / 现实主义,G3 小说,QH2.3 家庭与家族 | QH2.1 爱情与欲望,★,existing,existing,existing,existing,existing,existing
安尼尔的鬼魂.md,WL-WORK-R3-62546819,T6,T6 当代全球文学,R3 南亚文学,M5 战后与当代美学范式,G3 小说,QH3 身份、身体与归属,◆,existing,existing,t_default,t_default,t_default,other_topic
安徒生童话.md,WL-WORK-0664,T3,T3 19世纪现代文学体系,R4 欧洲文学,M2 19世纪文学思潮,G3 小说,QT3 奇幻,◆,existing,existing,existing,existing,existing,existing
安德森维尔.md,WL-WORK-2985,T5,T5 二战后多极文学,R5 北美文学,M5 战后与当代美学范式,G3 小说,QH6 战争、暴力与创伤,△,existing,existing,existing,existing,mechanism,existing
安德的游戏.md,WL-WORK-0414,T6,T6 当代全球文学,R5 北美文学,M5 战后与当代美学范式,G3 小说,QT2 科幻,△,existing,existing,existing,existing,existing,existing
安息角.md,WL-WORK-2503,T5,T5 二战后多极文学,R5 北美文学,M5 战后与当代美学范式,G3 小说,QT8 英雄、边疆与法外者文化传统 | QT8.5 西部,★,existing,existing,existing,existing,existing,existing
安提戈涅.md,WL-WORK-1445,T0,T0 文学源头与古代文学,R1 西亚—地中海古老传统,,G3 小说,QT9 神话、传说与民间叙事,◆,existing,existing,not_applicable_pre_modern,existing,existing,existing
安珀志：安珀九王子.md,WL-WORK-0665,T5,T5 二战后多极文学,R5 北美文学,M5 战后与当代美学范式,G3 小说,QT3 奇幻,△,existing,existing,existing,existing,existing,existing
安静的场所.md,WL-WORK-0165,T5,T5 二战后多极文学,R2 东亚文学,M5 战后与当代美学范式,G3 小说,QT1 推理与犯罪叙事,△,existing,existing,existing,existing,existing,existing
宝剑金钗.md,WL-WORK-2504,T4,T4 全球现代主义时代,R2 东亚文学,M3 现代主义与先锋派,G3 小说,QT8 英雄、边疆与法外者文化传统 | QT8.1 武侠,△,existing,existing,existing,existing,existing,existing
宝水.md,WL-WORK-2892,T6,T6 当代全球文学,R2 东亚文学,M5 战后与当代美学范式,G3 小说,QH6 战争、暴力与创伤,△,existing,existing,existing,existing,mechanism,existing
宠儿.md,WL-WORK-0666,T6,T6 当代全球文学,R10.2 非洲离散文学 | R5 北美文学 | R5 北美文学,M5 战后与当代美学范式 | M5.1 战后思想与美学范式,G3 小说,QT4 恐怖与哥特 | QH2.3 家庭与家族 | QT7 历史叙事 | QH7 历史、记忆与时间,◆,existing,existing,existing,existing,existing,award
宠物公墓.md,WL-WORK-0667,T6,T6 当代全球文学,R5 北美文学,M5 战后与当代美学范式,G3 小说,QT4 恐怖与哥特,△,existing,existing,existing,existing,existing,existing
审判.md,WL-WORK-1671,T4,T4 全球现代主义时代,R4 欧洲文学,M3.1 现代主义 / Modernism,G3 小说,QH5 权力、制度与秩序,★,existing,existing,existing,existing,mechanism,existing
宫本武藏.md,WL-WORK-1068,T4,T4 全球现代主义时代,R2 东亚文学,M3 现代主义与先锋派,G3 小说,QT7 历史叙事 | QT8 英雄、边疆与法外者文化传统 | QT8.3 日本武士与剑豪 | QT8.6 Gaucho,△,existing,existing,existing,existing,existing,existing
宫间街.md,WL-WORK-1069,T5,T5 二战后多极文学,R1 西亚—地中海古老传统,M5 战后与当代美学范式,G3 小说,QH2.3 家庭与家族,★,existing,existing,existing,existing,existing,existing
宰娜卜.md,WL-WORK-R1-ZAYNAB,T4,T4 全球现代主义时代,R1 西亚—地中海古老传统,M3 现代主义与先锋派,G3 小说,QH1 自我、存在与生命,◆,existing,existing,t_default,existing,t_default,other_topic
家.md,WL-WORK-1070,T4,T4 全球现代主义时代,R2 东亚文学,M3 现代主义与先锋派,G3 小说,QH2.5 童年与成长 | QH2.3 家庭与家族,★,existing,existing,existing,existing,existing,existing
家园.md,WL-WORK-1071,T6,T6 当代全球文学,R5 北美文学,M5 战后与当代美学范式,G3 小说,QH2.3 家庭与家族,△,existing,existing,existing,existing,existing,existing
家庭与世界.md,WL-WORK-1672,T4,T4 全球现代主义时代,R3 南亚文学,M3.1 现代主义 / Modernism | M4 集体文学运动与文化政治,G3 小说,QH5 权力、制度与秩序,◆,existing,existing,existing,existing,mechanism,existing
宿命论者雅克和他的主人.md,WL-WORK-3156,T2,T2 早期现代文学,R4 欧洲文学,M1 早期现代思想与美学,G3 小说,QH8 信仰、伦理与超越,◆,existing,existing,existing,existing,mechanism,existing
密使.md,WL-WORK-2053,T6,T6 当代全球文学,R2 东亚文学,M5 战后与当代美学范式,G3 小说,QH7 历史、记忆与时间,△,existing,existing,existing,existing,existing,existing
密室里的记忆.md,WL-WORK-1073,T6,T6 当代全球文学,R2 东亚文学,M5 战后与当代美学范式,G3 小说,QT6 乌托邦、反乌托邦与社会想象,△,existing,existing,existing,existing,existing,existing
密西西比河上的生活.md,WL-WORK-1446,T3,T3 19世纪现代文学体系,R5 北美文学,M2 19世纪文学思潮,G6 纪实与文学非虚构,QT14 旅行与游记,△,existing,existing,existing,existing,existing,existing
寒冷的红日出.md,WL-WORK-3115,T6,T6 当代全球文学,R5 北美文学,M5 战后与当代美学范式,G3 小说,QH3 身份、身体与归属,△,existing,existing,existing,existing,t_default,existing
寒颤.md,WL-WORK-0090,T5,T5 二战后多极文学,R5 北美文学,M5 战后与当代美学范式,G3 小说,QT1 推理与犯罪叙事,△,existing,existing,existing,existing,existing,existing
寓言（福克纳）.md,WL-WORK-2984,T5,T5 二战后多极文学,R5 北美文学,M5 战后与当代美学范式,G3 小说,QH6 战争、暴力与创伤,△,existing,existing,existing,existing,mechanism,existing
寻秦记.md,WL-WORK-2505,T6,T6 当代全球文学,R2 东亚文学,M5 战后与当代美学范式,G3 小说,QT8 英雄、边疆与法外者文化传统 | QT8.1 武侠,△,existing,existing,existing,existing,existing,existing
射雕英雄传.md,WL-WORK-2506,T5,T5 二战后多极文学,R2 东亚文学,M5 战后与当代美学范式,G3 小说,QT8.1 武侠 | QT8.3 日本武士与剑豪 | QT8.6 Gaucho | QH5 权力、制度与秩序,△,existing,existing,existing,existing,existing,existing
将军吟.md,WL-WORK-2857,T6,T6 当代全球文学,R2 东亚文学,M5 战后与当代美学范式,G3 小说,QH6 战争、暴力与创伤,△,existing,existing,existing,existing,mechanism,existing
将军底头.md,WL-WORK-1676,T4,T4 全球现代主义时代,R2 东亚文学,M3.1 现代主义 / Modernism,G3 小说,QH5 权力、制度与秩序,△,existing,existing,existing,existing,mechanism,existing
将军族.md,WL-WORK-1677,T5,T5 二战后多极文学,R2 东亚文学,M5 战后与当代美学范式,G3 小说,QH6 战争、暴力与创伤,★,existing,existing,existing,existing,topic_direct,existing
小五义.md,WL-WORK-2507,T3,T3 19世纪现代文学体系,R2 东亚文学,M2 19世纪文学思潮,G3 小说,QT8 英雄、边疆与法外者文化传统 | QT8.1 武侠,△,existing,existing,existing,existing,existing,existing
小妇人.md,WL-WORK-1074,T3,T3 19世纪现代文学体系,R5 北美文学,M2 19世纪文学思潮,G3 小说,QH2.5 童年与成长 | QH2.3 家庭与家族,◆,existing,existing,existing,existing,existing,existing
小时代.md,WL-WORK-2752,T6,T6 当代全球文学,R2 东亚文学,M5 战后与当代美学范式,G3 小说,QH2.1 爱情与欲望 | QH4 社会、阶级与劳动,△,existing,existing,existing,existing,existing,existing
小王子.md,WL-WORK-2731,T4,T4 全球现代主义时代,R4 欧洲文学,M3 现代主义与先锋派,G3 小说,QH1 自我、存在与生命 | QH2.3 家庭与家族 | QH2.5 童年与成长,◆,existing,existing,existing,existing,existing,existing
小眼睛.md,WL-WORK-1075,T6,T6 当代全球文学,R6 拉丁美洲与加勒比,M5 战后与当代美学范式,G3 小说,QT6 乌托邦、反乌托邦与社会想象,△,existing,existing,existing,existing,existing,existing
小神们.md,WL-WORK-0670,T6,T6 当代全球文学,R4 欧洲文学,M5 战后与当代美学范式,G3 小说,QT3 奇幻,△,existing,existing,existing,existing,existing,existing
小酒店.md,WL-WORK-1076,T3,T3 19世纪现代文学体系,R4 欧洲文学,M2 19世纪文学思潮 | M2 19世纪文学思潮 / 自然主义,G3 小说,QH2.3 家庭与家族,△,existing,existing,existing,existing,existing,existing
小陌生人.md,WL-WORK-0671,T6,T6 当代全球文学,R4 欧洲文学,M5 战后与当代美学范式,G3 小说,QT4 恐怖与哥特,△,existing,existing,existing,existing,existing,existing
少年.md,WL-WORK-1077,T3,T3 19世纪现代文学体系,R4 欧洲文学,M2 19世纪文学思潮,G3 小说,QH2.5 童年与成长,△,existing,existing,existing,existing,existing,existing
少年Pi的奇幻漂流.md,WL-WORK-2054,T6,T6 当代全球文学,R5 北美文学,M5 战后与当代美学范式,G3 小说,QH1 自我、存在与生命 | QH8 信仰、伦理与超越,△,existing,t_default,existing,existing,existing,existing
少年天子.md,WL-WORK-1078,T6,T6 当代全球文学,R2 东亚文学,M5 战后与当代美学范式,G3 小说,QT7 历史叙事,△,existing,existing,existing,existing,existing,existing
少年特尔勒斯的困惑.md,WL-WORK-1079,T4,T4 全球现代主义时代,R4 欧洲文学,M3 现代主义与先锋派,G3 小说,QH2.5 童年与成长,△,existing,existing,existing,existing,existing,existing
少年维特的烦恼.md,WL-WORK-2055,T2,T2 早期现代文学,R4 欧洲文学,M1 早期现代思想与美学,G3 小说,QH2.1 爱情与欲望,◆,existing,existing,existing,existing,existing,existing
少年艺术家的画像.md,WL-WORK-1080,T4,T4 全球现代主义时代,R4 欧洲文学,M3 现代主义与先锋派,G3 小说,QH2.5 童年与成长,△,existing,existing,existing,existing,existing,existing
尘埃落定.md,WL-WORK-1081,T6,T6 当代全球文学,R2 东亚文学,M5 战后与当代美学范式,G3 小说,QT7 历史叙事,△,existing,existing,existing,existing,existing,existing
尤利西斯.md,WL-WORK-1678,T4,T4 全球现代主义时代,R4 欧洲文学,M3.1 现代主义 / Modernism,G3 小说,QH1 自我、存在与生命,★,existing,existing,existing,existing,mechanism,existing
尤努斯·埃姆雷诗集.md,WL-WORK-R1-YUNUS-EMRE,T1,T1 中古多中心文学世界,R1 西亚—地中海古老传统,,G1 诗歌,QH8 信仰、伦理与超越,◆,existing,existing,not_applicable_pre_modern,title,t_default,other_topic
尤比克.md,WL-WORK-0330,T5,T5 二战后多极文学,R5 北美文学,M5 战后与当代美学范式,G3 小说,QT2 科幻,△,existing,existing,existing,existing,existing,existing
尸人庄谜案.md,WL-WORK-0205,T6,T6 当代全球文学,R2 东亚文学,M5 战后与当代美学范式,G3 小说,QT1 推理与犯罪叙事,△,existing,existing,existing,existing,existing,existing
尸体之城.md,WL-WORK-2056,T5,T5 二战后多极文学,R2 东亚文学,M5 战后与当代美学范式,G3 小说,QH6 战争、暴力与创伤,△,existing,existing,existing,existing,existing,existing
尸体之街.md,WL-WORK-1679,T5,T5 二战后多极文学,R2 东亚文学,M5 战后与当代美学范式,G3 小说,QH6 战争、暴力与创伤,★,existing,existing,existing,existing,topic_direct,existing
尸鬼.md,WL-WORK-0672,T6,T6 当代全球文学,R2 东亚文学,M5 战后与当代美学范式,G3 小说,QT4 恐怖与哥特,△,existing,existing,existing,existing,existing,existing
尼伯龙根之歌.md,WL-WORK-0673,T1,T1 中古多中心文学世界,R4 欧洲文学,,G3 小说,QT3 奇幻 | QH2.3 家庭与家族 | QT7 历史叙事 | QT9 神话、传说与民间叙事 | QH6 战争、暴力与创伤 | QT8 英雄、边疆与法外者文化传统 | QT8.2 欧洲骑士,◆,existing,existing,not_applicable_pre_modern,existing,existing,existing
尼罗河上的惨案.md,WL-WORK-0026,T4,T4 全球现代主义时代,R4 欧洲文学,M3 现代主义与先锋派,G3 小说,QT1 推理与犯罪叙事,△,existing,existing,existing,existing,existing,existing
尼雅尔萨迦.md,WL-WORK-1082,T1,T1 中古多中心文学世界,R4 欧洲文学,,G3 小说,QH2.3 家庭与家族,◆,existing,existing,not_applicable_pre_modern,existing,existing,existing
局外人.md,WL-WORK-1083,T4,T4 全球现代主义时代,R4 欧洲文学,M3.1 现代主义 / Modernism | M5.1 战后思想与美学范式,G3 小说,QH1 自我、存在与生命,◆,existing,existing,existing,existing,existing,existing
屠宰场之舞.md,WL-WORK-3118,T6,T6 当代全球文学,R5 北美文学,M5 战后与当代美学范式,G3 小说,QH3 身份、身体与归属,△,existing,existing,existing,existing,t_default,existing
山海经.md,WL-WORK-1448,T0,T0 文学源头与古代文学,R2 东亚文学,,G3 小说,QT9 神话、传说与民间叙事,△,existing,existing,not_applicable_pre_modern,existing,existing,existing
山音.md,WL-WORK-3158,T5,T5 二战后多极文学,R2 东亚文学,M5 战后与当代美学范式,G3 小说,QH5 权力、制度与秩序,◆,existing,existing,existing,existing,mechanism,existing
岁时记.md,WL-WORK-1449,T0,T0 文学源头与古代文学,R1 西亚—地中海古老传统,,G3 小说,QT9 神话、传说与民间叙事,△,existing,existing,not_applicable_pre_modern,existing,existing,existing
岛上书店.md,WL-WORK-2762,T6,T6 当代全球文学,R5 北美文学,M5 战后与当代美学范式,G3 小说,QH1 自我、存在与生命 | QH2.5 童年与成长,△,existing,existing,existing,existing,existing,existing
岭南摭怪.md,WL-WORK-1450,T1,T1 中古多中心文学世界,R2 东亚文学,,G3 小说,QT9 神话、传说与民间叙事,△,existing,existing,not_applicable_pre_modern,existing,existing,existing
崩溃.md,WL-WORK-2057,T4,T4 全球现代主义时代,R4 欧洲文学,M2 19世纪文学思潮,G3 小说,QH6 战争、暴力与创伤,△,existing,existing,existing,existing,existing,existing
工作与时日.md,WL-WORK-1451,T0,T0 文学源头与古代文学,R1 西亚—地中海古老传统,,G1 诗歌,QT9 神话、传说与民间叙事,◆,existing,existing,not_applicable_pre_modern,existing,existing,existing
巨人传.md,WL-WORK-3164,T2,T2 早期现代文学,R4 欧洲文学,M1 早期现代思想与美学,G3 小说,QH8 信仰、伦理与超越,◆,existing,existing,existing,existing,mechanism,existing
巨石苍穹.md,WL-WORK-0674,T6,T6 当代全球文学,R5 北美文学,M5 战后与当代美学范式,G3 小说,QT3 奇幻,△,existing,existing,existing,existing,existing,existing
差分机.md,WL-WORK-0440,T6,T6 当代全球文学,R5 北美文学,M5 战后与当代美学范式,G3 小说,QT2 科幻,△,existing,existing,existing,existing,existing,existing
已故的乔治·阿普利.md,WL-WORK-2974,T4,T4 全球现代主义时代,R5 北美文学,M3 现代主义与先锋派,G3 小说,QH1 自我、存在与生命,△,existing,existing,existing,existing,t_default,existing
已故的帕斯卡尔.md,WL-WORK-1681,T4,T4 全球现代主义时代,R4 欧洲文学,M3.1 现代主义 / Modernism,G3 小说,QH1 自我、存在与生命,△,existing,existing,existing,existing,t_default,existing
已知的世界.md,WL-WORK-3019,T6,T6 当代全球文学,R5 北美文学,M5 战后与当代美学范式,G3 小说,QH3 身份、身体与归属,△,existing,existing,existing,existing,t_default,existing
巴兰特雷少爷.md,WL-WORK-2509,T3,T3 19世纪现代文学体系,R4 欧洲文学,M2 19世纪文学思潮,G3 小说,QT8 英雄、边疆与法外者文化传统 | QT8.4 欧洲剑客,△,existing,existing,existing,existing,existing,existing
巴别-17.md,WL-WORK-0348,T5,T5 二战后多极文学,R5 北美文学,M5 战后与当代美学范式,G3 小说,QT2 科幻,△,existing,existing,existing,existing,existing,existing
巴别塔.md,WL-WORK-0675,T6,T6 当代全球文学,R5 北美文学,M5 战后与当代美学范式,G3 小说,QT3 奇幻,△,existing,existing,existing,existing,existing,existing
巴力神话组诗.md,WL-WORK-1452,T0,T0 文学源头与古代文学,R1 西亚—地中海古老传统,,G3 小说,QT9 神话、传说与民间叙事,△,existing,existing,not_applicable_pre_modern,existing,existing,existing
巴基斯坦列车.md,WL-WORK-1683,T5,T5 二战后多极文学,R3 南亚文学,M5 战后与当代美学范式,G3 小说,QH6 战争、暴力与创伤,★,existing,existing,existing,existing,topic_direct,existing
巴基诗集.md,WL-WORK-R1-BAKI-DIVAN,T2,T2 早期现代文学,R1 西亚—地中海古老传统,M1 早期现代思想与美学,G1 诗歌,QH5 权力、制度与秩序,◆,existing,existing,t_default,title,t_default,other_topic
巴布尔回忆录.md,WL-WORK-T2-BABURNAMA,T2,T2 早期现代文学,R3 南亚文学,M1 早期现代思想与美学,G6 纪实与文学非虚构,QH5 权力、制度与秩序,◆,existing,existing,existing,existing,existing,existing
巴拉耶.md,WL-WORK-2913,T6,T6 当代全球文学,R5 北美文学,M5 战后与当代美学范式,G3 小说,QH3 身份、身体与归属,△,existing,existing,existing,existing,t_default,existing
巴斯克维尔的猎犬.md,WL-WORK-0013,T4,T4 全球现代主义时代,R4 欧洲文学,M2 19世纪文学思潮,G3 小说,QT1 推理与犯罪叙事,△,existing,existing,existing,existing,existing,existing
巴斯蒂.md,WL-WORK-1684,T5,T5 二战后多极文学,R3 南亚文学,M5 战后与当代美学范式,G3 小说,QH6 战争、暴力与创伤,★,existing,existing,existing,existing,topic_direct,existing
巴比伦神义论.md,WL-WORK-R1-BABYLONIAN-THEODICY,T0,T0 文学源头与古代文学,R1 西亚—地中海古老传统,,G3 小说,QH8 信仰、伦理与超越,◆,existing,existing,not_applicable_pre_modern,t_default,t_default,other_topic
巴里公主.md,WL-WORK-1454,T4,T4 全球现代主义时代,R2 东亚文学,M3 现代主义与先锋派,G3 小说,QT9 神话、传说与民间叙事,△,existing,existing,t_default,existing,existing,existing
巴黎圣母院.md,WL-WORK-1086,T3,T3 19世纪现代文学体系,R4 欧洲文学,M2 19世纪文学思潮 | M2 19世纪文学思潮 / 浪漫主义,G3 小说,QT7 历史叙事,△,existing,existing,existing,existing,existing,existing
布兰航海记.md,WL-WORK-1455,T1,T1 中古多中心文学世界,R4 欧洲文学,,G3 小说,QT9 神话、传说与民间叙事,△,existing,existing,not_applicable_pre_modern,existing,existing,existing
布拉斯·库巴斯死后的回忆.md,WL-WORK-1686,T3,T3 19世纪现代文学体系,R6 拉丁美洲与加勒比,M2 19世纪文学思潮,G3 小说,QH5 权力、制度与秩序,◆,existing,existing,existing,existing,mechanism,existing
布拉热洛纳子爵.md,WL-WORK-1087,T3,T3 19世纪现代文学体系,R4 欧洲文学,M2 19世纪文学思潮,G3 小说,QT7 历史叙事 | QT8 英雄、边疆与法外者文化传统 | QT8.2 欧洲骑士 | QT8.4 欧洲剑客 | QT8.8 海盗,△,existing,existing,existing,existing,existing,existing
布登勃洛克一家.md,WL-WORK-1088,T4,T4 全球现代主义时代,R4 欧洲文学,M3 现代主义与先锋派,G3 小说,QH2.5 童年与成长 | QH2.3 家庭与家族,◆,existing,existing,existing,existing,existing,existing
布衣神相.md,WL-WORK-2510,T6,T6 当代全球文学,R2 东亚文学,M5 战后与当代美学范式,G3 小说,QT8 英雄、边疆与法外者文化传统 | QT8.1 武侠,△,existing,existing,existing,existing,existing,existing
布雷达的太阳.md,WL-WORK-2511,T6,T6 当代全球文学,R4 欧洲文学,M5 战后与当代美学范式,G3 小说,QT8 英雄、边疆与法外者文化传统 | QT8.4 欧洲剑客,△,existing,existing,existing,existing,existing,existing
希尔·兰贾.md,WL-WORK-R3-94628411,T2,T2 早期现代文学,R3 南亚文学,M1 早期现代思想与美学,G3 小说,QH5 权力、制度与秩序,◆,existing,existing,t_default,t_default,t_default,other_topic
希尔德的梯子.md,WL-WORK-0379,T6,T6 当代全球文学,R9 大洋洲与太平洋,M5 战后与当代美学范式,G3 小说,QT2 科幻,△,existing,existing,existing,existing,existing,existing
希波吕托斯.md,WL-WORK-1456,T0,T0 文学源头与古代文学,R1 西亚—地中海古老传统,,G3 小说,QT9 神话、传说与民间叙事,△,existing,existing,not_applicable_pre_modern,existing,existing,existing
希腊人佐巴.md,WL-WORK-2850,T5,T5 二战后多极文学,R4 欧洲文学,M3 现代主义与先锋派,G3 小说,QH6 战争、暴力与创伤,◆,existing,existing,existing,existing,mechanism,existing
希腊棺材之谜.md,WL-WORK-0038,T4,T4 全球现代主义时代,R5 北美文学,M3 现代主义与先锋派,G3 小说,QT1 推理与犯罪叙事,△,existing,existing,existing,existing,existing,existing
帕尔马修道院.md,WL-WORK-2060,T3,T3 19世纪现代文学体系,R4 欧洲文学,M2 19世纪文学思潮,G3 小说,QH6 战争、暴力与创伤,△,existing,existing,existing,existing,existing,existing
帕梅拉.md,WL-WORK-2061,T2,T2 早期现代文学,R4 欧洲文学,M1 早期现代思想与美学,G3 小说,QH2.1 爱情与欲望,△,existing,existing,existing,existing,existing,existing
帕迪·克拉克哈哈哈.md,WL-WORK-3056,T6,T6 当代全球文学,R4 欧洲文学,M5 战后与当代美学范式,G3 小说,QH3 身份、身体与归属,△,existing,existing,existing,existing,t_default,existing
帝国瀑布.md,WL-WORK-3018,T6,T6 当代全球文学,R5 北美文学,M5 战后与当代美学范式,G3 小说,QH3 身份、身体与归属,△,existing,existing,existing,existing,t_default,existing
席斯矩阵.md,WL-WORK-0391,T6,T6 当代全球文学,R5 北美文学,M5 战后与当代美学范式,G3 小说,QT2 科幻 | QT6 乌托邦、反乌托邦与社会想象,△,existing,existing,existing,existing,existing,existing
帷幕.md,WL-WORK-0031,T5,T5 二战后多极文学,R4 欧洲文学,M3 现代主义与先锋派,G3 小说,QT1 推理与犯罪叙事,△,existing,existing,existing,existing,existing,existing
平凡的世界.md,WL-WORK-2711,T6,T6 当代全球文学,R2 东亚文学,M2 19世纪文学思潮,G3 小说,QH2.3 家庭与家族 | QH2.5 童年与成长 | QH4 社会、阶级与劳动,△,existing,existing,existing,existing,existing,existing
平凡的恩典.md,WL-WORK-3140,T6,T6 当代全球文学,R5 北美文学,M5 战后与当代美学范式,G3 小说,QH3 身份、身体与归属,△,existing,existing,existing,existing,t_default,existing
平原上的城市.md,WL-WORK-2514,T6,T6 当代全球文学,R5 北美文学,M5 战后与当代美学范式,G3 小说,QT8 英雄、边疆与法外者文化传统 | QT8.5 西部,△,existing,existing,existing,existing,existing,existing
平家物语.md,WL-WORK-1091,T1,T1 中古多中心文学世界,R2 东亚文学,,G3 小说,QT7 历史叙事 | QH6 战争、暴力与创伤 | QT8 英雄、边疆与法外者文化传统 | QT8.3 日本武士与剑豪 | QT8.4 欧洲剑客,◆,existing,existing,not_applicable_pre_modern,existing,existing,existing
平面国.md,WL-WORK-0264,T3,T3 19世纪现代文学体系,R4 欧洲文学,M2 19世纪文学思潮,G3 小说,QT2 科幻 | QH5 权力、制度与秩序,△,existing,existing,existing,existing,existing,existing
年轻的古德曼·布朗.md,WL-WORK-0680,T3,T3 19世纪现代文学体系,R5 北美文学,M2 19世纪文学思潮,G3 小说,QT4 恐怖与哥特,△,existing,existing,existing,existing,existing,existing
并非出于仇恨.md,WL-WORK-3173,T5,T5 二战后多极文学,R8 东南亚文学,M5 战后与当代美学范式,G3 小说,QH5 权力、制度与秩序,◆,existing,existing,existing,existing,mechanism,existing
幻城.md,WL-WORK-2753,T6,T6 当代全球文学,R2 东亚文学,M5 战后与当代美学范式,G3 小说,QT3 奇幻 | QH2.1 爱情与欲望,△,existing,existing,existing,existing,existing,existing
幻影女郎.md,WL-WORK-0080,T4,T4 全球现代主义时代,R5 北美文学,M3 现代主义与先锋派,G3 小说,QT1 推理与犯罪叙事,△,existing,existing,existing,existing,existing,existing
幻想世界旅游者指南.md,WL-WORK-0681,T6,T6 当代全球文学,R4 欧洲文学,M5 战后与当代美学范式,G3 小说,QT3 奇幻,△,existing,existing,existing,existing,existing,existing
幻想曲.md,WL-WORK-0682,T3,T3 19世纪现代文学体系,R4 欧洲文学,M2 19世纪文学思潮,G3 小说,QT3 奇幻,△,existing,existing,existing,existing,existing,existing
幻梦之海.md,WL-WORK-0683,T6,T6 当代全球文学,R4 欧洲文学,M5 战后与当代美学范式,G3 小说,QT3 奇幻,△,existing,existing,existing,existing,existing,existing
幻灭.md,WL-WORK-1093,T3,T3 19世纪现代文学体系,R4 欧洲文学,M2 19世纪文学思潮 | M2 19世纪文学思潮 / 现实主义,G3 小说,QH2.5 童年与成长,◆,existing,existing,existing,existing,existing,existing
幽灵小姐.md,WL-WORK-2515,T2,T2 早期现代文学,R4 欧洲文学,M1 早期现代思想与美学,G3 小说,QT8 英雄、边疆与法外者文化传统 | QT8.4 欧洲剑客,△,existing,existing,existing,existing,existing,existing
幽灵海盗.md,WL-WORK-0685,T4,T4 全球现代主义时代,R4 欧洲文学,M3 现代主义与先锋派,G3 小说,QT4 恐怖与哥特,△,existing,existing,existing,existing,existing,existing
