work,id,t,history_position,stage,historical_role,mechanisms,history_source,stage_source,role_source,mechanism_source,needs_reading_calibration
天行者.md,WL-WORK-2879,T6,全球化出版与离散写作扩张，以“记忆、创伤与历史重写”为主要路径的反拨节点（读前预判）,1991—2008：全球化出版与离散写作扩张,反拨,记忆、创伤与历史重写 | 全球市场、翻译与奖项,generated_from_generic,existing,mechanism,existing,yes
天钧.md,WL-WORK-0356,T5,文学爆炸与全球分叉，以“从欧洲中心到多中心世界文学”为主要路径的高峰节点（读前预判）,1965—1975：文学爆炸与全球分叉,高峰,从欧洲中心到多中心世界文学 | 冷战、审查与意识形态体系,generated_from_generic,existing,stage,existing,yes
天龙八部.md,WL-WORK-2498,T5,世界真正多中心化，以“从欧洲中心到多中心世界文学”为主要路径的边缘突破节点（读前预判）,1955—1965：世界真正多中心化,边缘突破,从欧洲中心到多中心世界文学 | 去殖民、民族国家与后殖民转向,generated_from_generic,existing,mechanism,existing,yes
太平广记.md,WL-WORK-T1-TAIPING-GUANGJI,T1,宫廷、宗教与俗语文学扩展的汉文文学世界中，以“故事与异闻的编纂保存”为主要路径的经典化节点（读前预判）,约1000—1250：宫廷、宗教与俗语文学扩展,经典化,故事与异闻的编纂保存 | 唐以前叙事传统的再经典化 | 宋代书籍文化与分类整理,generated_from_generic,existing,mechanism,existing,yes
太白金星有点烦.md,WL-WORK-2766,T6,全球化出版与离散写作扩张，以“记忆、创伤与历史重写”为主要路径的形式突破节点（读前预判）,1991—2008：全球化出版与离散写作扩张,形式突破,记忆、创伤与历史重写 | 类型全球化与文类融合 | 全球市场、翻译与奖项,generated_from_generic,existing,mechanism,existing,yes
太空商人.md,WL-WORK-0339,T5,世界真正多中心化，以“从欧洲中心到多中心世界文学”为主要路径的边缘突破节点（读前预判）,1955—1965：世界真正多中心化,边缘突破,从欧洲中心到多中心世界文学 | 冷战、审查与意识形态体系 | 去殖民、民族国家与后殖民转向,generated_from_generic,existing,mechanism,existing,yes
太阁记.md,WL-WORK-2499,T4,政治极化、反殖民与战时转型，以“帝国、殖民、反殖民与文化翻译”为主要路径的边缘突破节点（读前预判）,1930—1945：政治极化、反殖民与战时转型,边缘突破,帝国、殖民、反殖民与文化翻译 | 小杂志、翻译、流亡与跨国网络,generated_from_generic,existing,mechanism,existing,yes
太阳下的人们.md,WL-WORK-2047,T5,世界真正多中心化，以“流亡 / Refugee”为主要路径的扩散节点（读前预判）,1955—1965：世界真正多中心化,扩散,流亡 / Refugee | 殖民与民族国家 | 战争与迁徙,generated_from_generic,existing,stage,existing,yes
太阳之屋.md,WL-WORK-0408,T6,全球危机、平台化与类型融合，以“类型全球化与文类融合”为主要路径的形式突破节点（读前预判）,2008—2020：全球危机、平台化与类型融合,形式突破,类型全球化与文类融合 | 数字平台、气候与技术社会 | 全球市场、翻译与奖项,generated_from_generic,existing,mechanism,existing,yes
太阳传说.md,WL-WORK-1436,T2,印刷扩张、宗教变革与俗语文学兴起，以“印刷、书籍市场与读者扩大”为主要路径的奠基节点（读前预判）,1500—1600：印刷扩张、宗教变革与俗语文学兴起,奠基,印刷、书籍市场与读者扩大 | 帝国、航海、殖民与旅行书写,generated_from_generic,existing,stage,existing,yes
太阳照常升起.md,WL-WORK-1648,T4,高峰现代主义与全球扩展，以“小杂志、翻译、流亡与跨国网络”为主要路径的高峰节点（读前预判）,1918—1930：高峰现代主义与全球扩展,高峰,小杂志、翻译、流亡与跨国网络,generated_from_generic,existing,stage,existing,yes
失乐园.md,WL-WORK-2049,T6,全球化出版与离散写作扩张，以“记忆、创伤与历史重写”为主要路径的反拨节点（读前预判）,1991—2008：全球化出版与离散写作扩张,反拨,记忆、创伤与历史重写 | 全球市场、翻译与奖项,generated_from_generic,existing,mechanism,existing,yes
失乐园（弥尔顿）.md,WL-WORK-T2-PARADISE-LOST,T2,欧洲宗教与政治危机中的史诗重写,1600—1700：宫廷、城市、巴洛克与全球接触,跨区域转译,宗教改革、教派竞争与文本政治 | 俗语化、翻译与新读者共同体,existing_specific,existing,existing,existing,no
失明症漫记.md,WL-WORK-2849,T6,全球化出版与离散写作扩张，以“全球市场、翻译与奖项”为主要路径的扩散节点（读前预判）,1991—2008：全球化出版与离散写作扩张,扩散,全球市场、翻译与奖项,generated_from_generic,existing,stage,existing,yes
失窃的信.md,WL-WORK-0008,T3,市场扩张、现实主义与现代小说成熟，以“报刊、连载与大众读者”为主要路径的跨区域转译节点（读前预判）,1830—1870：市场扩张、现实主义与现代小说成熟,跨区域转译,报刊、连载与大众读者 | 职业作者、版权与文学市场 | 翻译、帝国与跨洋市场,generated_from_generic,existing,mechanism,existing,yes
失落的世界.md,WL-WORK-0650,T4,高峰现代主义与全球扩展，以“小杂志、翻译、流亡与跨国网络”为主要路径的高峰节点（读前预判）,1918—1930：高峰现代主义与全球扩展,高峰,小杂志、翻译、流亡与跨国网络,generated_from_generic,existing,stage,existing,yes
失落的继承.md,WL-WORK-3065,T6,全球化出版与离散写作扩张，以“迁徙、离散与跨国家庭”为主要路径的扩散节点（读前预判）,1991—2008：全球化出版与离散写作扩张,扩散,迁徙、离散与跨国家庭 | 全球市场、翻译与奖项,generated_from_generic,existing,stage,existing,yes
失踪的足迹.md,WL-WORK-0651,T5,世界真正多中心化，以“从欧洲中心到多中心世界文学”为主要路径的边缘突破节点（读前预判）,1955—1965：世界真正多中心化,边缘突破,从欧洲中心到多中心世界文学 | 去殖民、民族国家与后殖民转向,generated_from_generic,existing,mechanism,existing,yes
夺牛长征记.md,WL-WORK-1437,T1,跨区域传播、印刷与中古晚期转型的拉丁基督教与欧洲俗语文学圈中，以“口传、讲唱与表演”为主要路径的过渡节点（读前预判）,约1250—1500：跨区域传播、印刷与中古晚期转型,过渡,口传、讲唱与表演 | 手稿、书写与区域性印刷,generated_from_generic,existing,stage,existing,yes
奇兰巴兰书.md,WL-WORK-1438,T2,宫廷、城市、巴洛克与全球接触，以“印刷、书籍市场与读者扩大”为主要路径的成熟节点（读前预判）,1600—1700：宫廷、城市、巴洛克与全球接触,成熟,印刷、书籍市场与读者扩大 | 帝国、航海、殖民与旅行书写,generated_from_generic,existing,stage,existing,yes
奎勒备忘录.md,WL-WORK-3093,T5,文学爆炸与全球分叉，以“从欧洲中心到多中心世界文学”为主要路径的高峰节点（读前预判）,1965—1975：文学爆炸与全球分叉,高峰,从欧洲中心到多中心世界文学 | 冷战、审查与意识形态体系,generated_from_generic,existing,stage,existing,yes
契诃夫短篇小说选.md,WL-WORK-2712,T4,高峰现代主义与全球扩展，以“心理、主体与叙事视角”为主要路径的形式突破节点（读前预判）,1918—1930：高峰现代主义与全球扩展,形式突破,心理、主体与叙事视角 | 小杂志、翻译、流亡与跨国网络,generated_from_generic,existing,mechanism,existing,yes
奔马.md,WL-WORK-2501,T5,世界真正多中心化，以“从欧洲中心到多中心世界文学”为主要路径的边缘突破节点（读前预判）,1955—1965：世界真正多中心化,边缘突破,从欧洲中心到多中心世界文学 | 去殖民、民族国家与后殖民转向,generated_from_generic,existing,mechanism,existing,yes
奥丽芙·基特里奇.md,WL-WORK-3021,T6,全球化出版与离散写作扩张，以“全球市场、翻译与奖项”为主要路径的扩散节点（读前预判）,1991—2008：全球化出版与离散写作扩张,扩散,全球市场、翻译与奖项,generated_from_generic,existing,stage,existing,yes
奥之细道.md,WL-WORK-1440,T2,江户俳谐、旅行书写与出版文化,1700—1800：公共领域、启蒙与现代文学市场成熟,阶段性代表,印刷、书籍市场与读者扩大 | 城市、宫廷与公共表演,existing_specific,existing,existing,existing,no
奥吉·马奇历险记.md,WL-WORK-1653,T5,世界真正多中心化，以“从欧洲中心到多中心世界文学”为主要路径的扩散节点（读前预判）,1955—1965：世界真正多中心化,扩散,从欧洲中心到多中心世界文学 | 冷战、审查与意识形态体系,generated_from_generic,existing,stage,existing,yes
奥尔拉.md,WL-WORK-0652,T3,市场扩张、现实主义与现代小说成熟，以“报刊、连载与大众读者”为主要路径的成熟节点（读前预判）,1830—1870：市场扩张、现实主义与现代小说成熟,成熟,报刊、连载与大众读者 | 职业作者、版权与文学市场,generated_from_generic,existing,stage,existing,yes
奥德赛.md,WL-WORK-0653,T0,史诗、经典与公共文学成熟的古希腊传统中，以“神话、宗教与仪式”为主要路径的成熟节点（读前预判）,古典形成：史诗、经典与公共文学成熟,成熟,神话、宗教与仪式 | 口传、吟诵与表演 | 文字、书写与文本固定,generated_from_generic,existing,stage,existing,yes
奥拉.md,WL-WORK-1655,T5,世界真正多中心化，以“从欧洲中心到多中心世界文学”为主要路径的边缘突破节点（读前预判）,1955—1965：世界真正多中心化,边缘突破,从欧洲中心到多中心世界文学 | 去殖民、民族国家与后殖民转向,generated_from_generic,existing,mechanism,existing,yes
奥斯卡·瓦奥短暂而奇妙的一生.md,WL-WORK-1056,T6,21世纪加勒比—美国离散、独裁记忆与跨国家族叙事,1991—2008：全球化出版与离散写作扩张,边缘突破,迁徙离散与跨国家庭 | 记忆创伤与历史重写 | 类型与流行文化融合,existing_specific,existing,existing,existing,no
奥斯卡与露辛达.md,WL-WORK-3054,T6,全球化出版与离散写作扩张，以“迁徙、离散与跨国家庭”为主要路径的扩散节点（读前预判）,1991—2008：全球化出版与离散写作扩张,扩散,迁徙、离散与跨国家庭 | 全球市场、翻译与奖项,generated_from_generic,existing,stage,existing,yes
奥斯特利茨.md,WL-WORK-2050,T6,全球化出版与离散写作扩张，以“记忆、创伤与历史重写”为主要路径的反拨节点（读前预判）,1991—2008：全球化出版与离散写作扩张,反拨,记忆、创伤与历史重写 | 全球市场、翻译与奖项,generated_from_generic,existing,mechanism,existing,yes
奥秘匕首.md,WL-WORK-0655,T6,全球化出版与离散写作扩张，以“类型全球化与文类融合”为主要路径的形式突破节点（读前预判）,1991—2008：全球化出版与离散写作扩张,形式突破,类型全球化与文类融合 | 全球市场、翻译与奖项,generated_from_generic,existing,mechanism,existing,yes
奥赛罗.md,WL-WORK-2828,T2,印刷扩张、宗教变革与俗语文学兴起，以“印刷、书籍市场与读者扩大”为主要路径的转折节点（读前预判）,1500—1600：印刷扩张、宗教变革与俗语文学兴起,转折,印刷、书籍市场与读者扩大 | 宗教改革、教派竞争与文本政治 | 城市、宫廷与公共表演,generated_from_generic,existing,mechanism,existing,yes
奥麦罗斯.md,WL-WORK-3209,T6,全球化出版与离散写作扩张，以“全球市场、翻译与奖项”为主要路径的扩散节点（读前预判）,1991—2008：全球化出版与离散写作扩张,扩散,全球市场、翻译与奖项,generated_from_generic,existing,stage,existing,yes
女人的房间.md,WL-WORK-1657,T5,革命激情退潮与后现代成熟，以“从欧洲中心到多中心世界文学”为主要路径的边缘突破节点（读前预判）,1975—1980：革命激情退潮与后现代成熟,边缘突破,从欧洲中心到多中心世界文学 | 去殖民、民族国家与后殖民转向,generated_from_generic,existing,mechanism,existing,yes
女仆.md,WL-WORK-1658,T5,废墟、罪责与重新开始，以“从欧洲中心到多中心世界文学”为主要路径的边缘突破节点（读前预判）,1945—1955：废墟、罪责与重新开始,边缘突破,从欧洲中心到多中心世界文学 | 去殖民、民族国家与后殖民转向,generated_from_generic,existing,mechanism,existing,yes
女孩们的沉默.md,WL-WORK-0656,T6,全球化出版与离散写作扩张，以“记忆、创伤与历史重写”为主要路径的形式突破节点（读前预判）,1991—2008：全球化出版与离散写作扩张,形式突破,记忆、创伤与历史重写 | 类型全球化与文类融合 | 全球市场、翻译与奖项,generated_from_generic,existing,mechanism,existing,yes
女孩，女人，其他.md,WL-WORK-3076,T6,全球化出版与离散写作扩张，以“全球市场、翻译与奖项”为主要路径的扩散节点（读前预判）,1991—2008：全球化出版与离散写作扩张,扩散,全球市场、翻译与奖项,generated_from_generic,existing,stage,existing,yes
女巫的预言.md,WL-WORK-1441,T1,跨区域传播、印刷与中古晚期转型的拉丁基督教与欧洲俗语文学圈中，以“口传、讲唱与表演”为主要路径的过渡节点（读前预判）,约1250—1500：跨区域传播、印刷与中古晚期转型,过渡,口传、讲唱与表演 | 手稿、书写与区域性印刷,generated_from_generic,existing,stage,existing,yes
女巫角.md,WL-WORK-0034,T4,高峰现代主义与全球扩展，以“小杂志、翻译、流亡与跨国网络”为主要路径的高峰节点（读前预判）,1918—1930：高峰现代主义与全球扩展,高峰,小杂志、翻译、流亡与跨国网络,generated_from_generic,existing,stage,existing,yes
女性男人.md,WL-WORK-1659,T5,文学爆炸与全球分叉，以“从欧洲中心到多中心世界文学”为主要路径的高峰节点（读前预判）,1965—1975：文学爆炸与全球分叉,高峰,从欧洲中心到多中心世界文学 | 冷战、审查与意识形态体系,generated_from_generic,existing,stage,existing,yes
女王蜂.md,WL-WORK-0156,T5,世界真正多中心化，以“从欧洲中心到多中心世界文学”为主要路径的边缘突破节点（读前预判）,1955—1965：世界真正多中心化,边缘突破,从欧洲中心到多中心世界文学 | 去殖民、民族国家与后殖民转向,generated_from_generic,existing,mechanism,existing,yes
女神颂.md,WL-WORK-1442,T0,史诗、经典与公共文学成熟的古代南亚传统中，以“神话、宗教与仪式”为主要路径的成熟节点（读前预判）,古典形成：史诗、经典与公共文学成熟,成熟,神话、宗教与仪式 | 口传、吟诵与表演 | 文字、书写与文本固定,generated_from_generic,existing,stage,existing,yes
女英雄书简.md,WL-WORK-1443,T0,传统整合及中古过渡的古罗马传统中，以“神话、宗教与仪式”为主要路径的过渡节点（读前预判）,帝国与经典化：传统整合及中古过渡,过渡,神话、宗教与仪式 | 文字、书写与文本固定,generated_from_generic,existing,stage,existing,yes
女雕塑家.md,WL-WORK-3120,T6,全球化出版与离散写作扩张，以“全球市场、翻译与奖项”为主要路径的扩散节点（读前预判）,1991—2008：全球化出版与离散写作扩张,扩散,全球市场、翻译与奖项,generated_from_generic,existing,stage,existing,yes
女面.md,WL-WORK-1660,T5,文学爆炸与全球分叉，以“从欧洲中心到多中心世界文学”为主要路径的边缘突破节点（读前预判）,1965—1975：文学爆炸与全球分叉,边缘突破,从欧洲中心到多中心世界文学 | 去殖民、民族国家与后殖民转向,generated_from_generic,existing,mechanism,existing,yes
她.md,WL-WORK-0658,T3,市场扩张、现实主义与现代小说成熟，以“报刊、连载与大众读者”为主要路径的成熟节点（读前预判）,1830—1870：市场扩张、现实主义与现代小说成熟,成熟,报刊、连载与大众读者 | 职业作者、版权与文学市场,generated_from_generic,existing,stage,existing,yes
她乡.md,WL-WORK-1059,T4,高峰现代主义与全球扩展，以“都市、技术与感知革命”为主要路径的高峰节点（读前预判）,1918—1930：高峰现代主义与全球扩展,高峰,都市、技术与感知革命 | 小杂志、翻译、流亡与跨国网络,generated_from_generic,existing,stage,existing,yes
她对此感到厌烦.md,WL-WORK-2751,T6,全球化出版与离散写作扩张，以“记忆、创伤与历史重写”为主要路径的形式突破节点（读前预判）,1991—2008：全球化出版与离散写作扩张,形式突破,记忆、创伤与历史重写 | 类型全球化与文类融合 | 全球市场、翻译与奖项,generated_from_generic,existing,mechanism,existing,yes
她的烟雾永恒升起.md,WL-WORK-0359,T5,世界真正多中心化，以“从欧洲中心到多中心世界文学”为主要路径的边缘突破节点（读前预判）,1955—1965：世界真正多中心化,边缘突破,从欧洲中心到多中心世界文学 | 去殖民、民族国家与后殖民转向,generated_from_generic,existing,mechanism,existing,yes
好兵.md,WL-WORK-1661,T4,高峰现代主义与全球扩展，以“小杂志、翻译、流亡与跨国网络”为主要路径的高峰节点（读前预判）,1918—1930：高峰现代主义与全球扩展,高峰,小杂志、翻译、流亡与跨国网络,generated_from_generic,existing,stage,existing,yes
好兵帅克.md,WL-WORK-0660,T4,政治极化、反殖民与战时转型，以“心理、主体与叙事视角”为主要路径的形式突破节点（读前预判）,1930—1945：政治极化、反殖民与战时转型,形式突破,心理、主体与叙事视角 | 世界大战、革命与政治极化 | 小杂志、翻译、流亡与跨国网络,generated_from_generic,existing,mechanism,existing,yes
好色一代男.md,WL-WORK-T2-KOSHOKU-ICHIDAI-OTOKO,T2,江户町人文化与商业出版中的浮世草子,1600—1700：宫廷、城市、巴洛克与全球接触,阶段性代表,印刷、书籍市场与读者扩大 | 城市、宫廷与公共表演,existing_specific,existing,existing,existing,no
如今在十一月.md,WL-WORK-2972,T4,高峰现代主义与全球扩展，以“小杂志、翻译、流亡与跨国网络”为主要路径的高峰节点（读前预判）,1918—1930：高峰现代主义与全球扩展,高峰,小杂志、翻译、流亡与跨国网络,generated_from_generic,existing,stage,existing,yes
如果在冬夜，一个旅人.md,WL-WORK-1662,T5,文学爆炸与全球分叉，以“从欧洲中心到多中心世界文学”为主要路径的边缘突破节点（读前预判）,1965—1975：文学爆炸与全球分叉,边缘突破,从欧洲中心到多中心世界文学 | 去殖民、民族国家与后殖民转向,generated_from_generic,existing,mechanism,existing,yes
如果我死在战区.md,WL-WORK-1663,T5,文学爆炸与全球分叉，以“从欧洲中心到多中心世界文学”为主要路径的边缘突破节点（读前预判）,1965—1975：文学爆炸与全球分叉,边缘突破,从欧洲中心到多中心世界文学 | 去殖民、民族国家与后殖民转向,generated_from_generic,existing,mechanism,existing,yes
如果这是一个人.md,WL-WORK-1664,T5,废墟、罪责与重新开始，以“从欧洲中心到多中心世界文学”为主要路径的转折节点（读前预判）,1945—1955：废墟、罪责与重新开始,转折,从欧洲中心到多中心世界文学 | 冷战、审查与意识形态体系,generated_from_generic,existing,stage,existing,yes
如此漫长的信.md,WL-WORK-2051,T5,革命激情退潮与后现代成熟，以“从欧洲中心到多中心世界文学”为主要路径的边缘突破节点（读前预判）,1975—1980：革命激情退潮与后现代成熟,边缘突破,从欧洲中心到多中心世界文学 | 去殖民、民族国家与后殖民转向,generated_from_generic,existing,mechanism,existing,yes
姆温多史诗.md,WL-WORK-1444,T5,文学爆炸与全球分叉，以“从欧洲中心到多中心世界文学”为主要路径的边缘突破节点（读前预判）,1965—1975：文学爆炸与全球分叉,边缘突破,从欧洲中心到多中心世界文学 | 去殖民、民族国家与后殖民转向,generated_from_generic,existing,mechanism,existing,yes
姑获鸟之夏.md,WL-WORK-0190,T6,全球化出版与离散写作扩张，以“记忆、创伤与历史重写”为主要路径的形式突破节点（读前预判）,1991—2008：全球化出版与离散写作扩张,形式突破,记忆、创伤与历史重写 | 类型全球化与文类融合 | 全球市场、翻译与奖项,generated_from_generic,existing,mechanism,existing,yes
威尼斯之死.md,WL-WORK-1665,T4,高峰现代主义与全球扩展，以“小杂志、翻译、流亡与跨国网络”为主要路径的高峰节点（读前预判）,1918—1930：高峰现代主义与全球扩展,高峰,小杂志、翻译、流亡与跨国网络,generated_from_generic,existing,stage,existing,yes
威廉·迈斯特的学习时代.md,WL-WORK-1061,T2,印刷扩张、宗教变革与俗语文学兴起，以“印刷、书籍市场与读者扩大”为主要路径的转折节点（读前预判）,1500—1600：印刷扩张、宗教变革与俗语文学兴起,转折,印刷、书籍市场与读者扩大 | 宗教改革、教派竞争与文本政治,generated_from_generic,existing,mechanism,existing,yes
威廉·迈斯特的漫游时代.md,WL-WORK-1062,T3,市场扩张、现实主义与现代小说成熟，以“报刊、连载与大众读者”为主要路径的成熟节点（读前预判）,1830—1870：市场扩张、现实主义与现代小说成熟,成熟,报刊、连载与大众读者 | 职业作者、版权与文学市场,generated_from_generic,existing,stage,existing,yes
威弗利.md,WL-WORK-0661,T3,市场扩张、现实主义与现代小说成熟，以“报刊、连载与大众读者”为主要路径的成熟节点（读前预判）,1830—1870：市场扩张、现实主义与现代小说成熟,成熟,报刊、连载与大众读者 | 职业作者、版权与文学市场,generated_from_generic,existing,stage,existing,yes
娜娜.md,WL-WORK-1063,T3,市场扩张、现实主义与现代小说成熟，以“报刊、连载与大众读者”为主要路径的成熟节点（读前预判）,1830—1870：市场扩张、现实主义与现代小说成熟,成熟,报刊、连载与大众读者 | 职业作者、版权与文学市场,generated_from_generic,existing,stage,existing,yes
嫉妒.md,WL-WORK-1666,T5,世界真正多中心化，以“从欧洲中心到多中心世界文学”为主要路径的边缘突破节点（读前预判）,1955—1965：世界真正多中心化,边缘突破,从欧洲中心到多中心世界文学 | 去殖民、民族国家与后殖民转向,generated_from_generic,existing,mechanism,existing,yes
嫌疑人X的献身.md,WL-WORK-0211,T6,全球化出版与离散写作扩张，以“记忆、创伤与历史重写”为主要路径的形式突破节点（读前预判）,1991—2008：全球化出版与离散写作扩张,形式突破,记忆、创伤与历史重写 | 类型全球化与文类融合 | 全球市场、翻译与奖项,generated_from_generic,existing,mechanism,existing,yes
子夜.md,WL-WORK-2817,T4,政治极化、反殖民与战时转型，以“帝国、殖民、反殖民与文化翻译”为主要路径的边缘突破节点（读前预判）,1930—1945：政治极化、反殖民与战时转型,边缘突破,帝国、殖民、反殖民与文化翻译 | 小杂志、翻译、流亡与跨国网络,generated_from_generic,existing,mechanism,existing,yes
孟菲斯之召.md,WL-WORK-3005,T6,全球化出版与离散写作扩张，以“全球市场、翻译与奖项”为主要路径的扩散节点（读前预判）,1991—2008：全球化出版与离散写作扩张,扩散,全球市场、翻译与奖项,generated_from_generic,existing,stage,existing,yes
孤儿大师之子.md,WL-WORK-3024,T6,全球化出版与离散写作扩张，以“全球市场、翻译与奖项”为主要路径的扩散节点（读前预判）,1991—2008：全球化出版与离散写作扩张,扩散,全球市场、翻译与奖项,generated_from_generic,existing,stage,existing,yes
孤岛之谜.md,WL-WORK-0184,T6,全球化出版与离散写作扩张，以“记忆、创伤与历史重写”为主要路径的形式突破节点（读前预判）,1991—2008：全球化出版与离散写作扩张,形式突破,记忆、创伤与历史重写 | 类型全球化与文类融合 | 全球市场、翻译与奖项,generated_from_generic,existing,mechanism,existing,yes
孤岛之鬼.md,WL-WORK-0150,T4,政治极化、反殖民与战时转型，以“帝国、殖民、反殖民与文化翻译”为主要路径的边缘突破节点（读前预判）,1930—1945：政治极化、反殖民与战时转型,边缘突破,帝国、殖民、反殖民与文化翻译 | 小杂志、翻译、流亡与跨国网络,generated_from_generic,existing,mechanism,existing,yes
孤独的伦敦人.md,WL-WORK-1667,T5,世界真正多中心化，以“Migration／流亡／Diaspora”为主要路径的扩散节点（读前预判）,1955—1965：世界真正多中心化,扩散,Migration／流亡／Diaspora,generated_from_generic,existing,stage,existing,yes
孤鸽镇.md,WL-WORK-2502,T6,全球化出版与离散写作扩张，以“类型全球化与文类融合”为主要路径的形式突破节点（读前预判）,1991—2008：全球化出版与离散写作扩张,形式突破,类型全球化与文类融合 | 全球市场、翻译与奖项,generated_from_generic,existing,mechanism,existing,yes
孩子，你别哭.md,WL-WORK-1064,T5,世界真正多中心化，以“从欧洲中心到多中心世界文学”为主要路径的边缘突破节点（读前预判）,1955—1965：世界真正多中心化,边缘突破,从欧洲中心到多中心世界文学 | 冷战、审查与意识形态体系 | 去殖民、民族国家与后殖民转向,generated_from_generic,existing,mechanism,existing,yes
孪生兄弟.md,WL-WORK-R1-MENAECHMI,T0,史诗、经典与公共文学成熟，以“文字、书写与文本固定”为主要路径的成熟节点（读前预判）,古典形成：史诗、经典与公共文学成熟,成熟,文字、书写与文本固定,generated_from_generic,existing,stage,existing,yes
孽子.md,WL-WORK-2706,T6,全球化出版与离散写作扩张，以“身份、性别与代表权”为主要路径的边缘突破节点（读前预判）,1991—2008：全球化出版与离散写作扩张,边缘突破,身份、性别与代表权 | 记忆、创伤与历史重写 | 全球市场、翻译与奖项,generated_from_generic,existing,mechanism,existing,yes
它.md,WL-WORK-0663,T6,全球化出版与离散写作扩张，以“类型全球化与文类融合”为主要路径的形式突破节点（读前预判）,1991—2008：全球化出版与离散写作扩张,形式突破,类型全球化与文类融合 | 全球市场、翻译与奖项,generated_from_generic,existing,mechanism,existing,yes
宇宙云雀.md,WL-WORK-0288,T4,高峰现代主义与全球扩展，以“都市、技术与感知革命”为主要路径的高峰节点（读前预判）,1918—1930：高峰现代主义与全球扩展,高峰,都市、技术与感知革命 | 小杂志、翻译、流亡与跨国网络,generated_from_generic,existing,stage,existing,yes
宇宙奇趣全集.md,WL-WORK-1669,T5,文学爆炸与全球分叉，以“从欧洲中心到多中心世界文学”为主要路径的边缘突破节点（读前预判）,1965—1975：文学爆炸与全球分叉,边缘突破,从欧洲中心到多中心世界文学 | 去殖民、民族国家与后殖民转向,generated_from_generic,existing,mechanism,existing,yes
守产人.md,WL-WORK-3040,T5,世界真正多中心化，以“从欧洲中心到多中心世界文学”为主要路径的边缘突破节点（读前预判）,1955—1965：世界真正多中心化,边缘突破,从欧洲中心到多中心世界文学 | 去殖民、民族国家与后殖民转向,generated_from_generic,existing,mechanism,existing,yes
守夜.md,WL-WORK-1065,T6,全球化出版与离散写作扩张，以“记忆、创伤与历史重写”为主要路径的形式突破节点（读前预判）,1991—2008：全球化出版与离散写作扩张,形式突破,记忆、创伤与历史重写 | 类型全球化与文类融合 | 全球市场、翻译与奖项,generated_from_generic,existing,mechanism,existing,yes
守屋人.md,WL-WORK-2991,T5,文学爆炸与全球分叉，以“从欧洲中心到多中心世界文学”为主要路径的高峰节点（读前预判）,1965—1975：文学爆炸与全球分叉,高峰,从欧洲中心到多中心世界文学 | 冷战、审查与意识形态体系,generated_from_generic,existing,stage,existing,yes
安伯森家族.md,WL-WORK-2959,T4,高峰现代主义与全球扩展，以“小杂志、翻译、流亡与跨国网络”为主要路径的高峰节点（读前预判）,1918—1930：高峰现代主义与全球扩展,高峰,小杂志、翻译、流亡与跨国网络,generated_from_generic,existing,stage,existing,yes
安妮日记.md,WL-WORK-1066,T5,废墟、罪责与重新开始，以“从欧洲中心到多中心世界文学”为主要路径的边缘突破节点（读前预判）,1945—1955：废墟、罪责与重新开始,边缘突破,从欧洲中心到多中心世界文学 | 冷战、审查与意识形态体系 | 去殖民、民族国家与后殖民转向,generated_from_generic,existing,mechanism,existing,yes
安娜·卡列尼娜.md,WL-WORK-1067,T3,市场扩张、现实主义与现代小说成熟，以“报刊、连载与大众读者”为主要路径的成熟节点（读前预判）,1830—1870：市场扩张、现实主义与现代小说成熟,成熟,报刊、连载与大众读者 | 职业作者、版权与文学市场,generated_from_generic,existing,stage,existing,yes
安尼尔的鬼魂.md,WL-WORK-R3-62546819,T6,全球化出版与离散写作扩张，以“全球市场、翻译与奖项”为主要路径的扩散节点（读前预判）,1991—2008：全球化出版与离散写作扩张,扩散,全球市场、翻译与奖项,generated_from_generic,existing,stage,existing,yes
安徒生童话.md,WL-WORK-0664,T3,市场扩张、现实主义与现代小说成熟，以“报刊、连载与大众读者”为主要路径的成熟节点（读前预判）,1830—1870：市场扩张、现实主义与现代小说成熟,成熟,报刊、连载与大众读者 | 职业作者、版权与文学市场,generated_from_generic,existing,stage,existing,yes
安德森维尔.md,WL-WORK-2985,T5,文学爆炸与全球分叉，以“从欧洲中心到多中心世界文学”为主要路径的高峰节点（读前预判）,1965—1975：文学爆炸与全球分叉,高峰,从欧洲中心到多中心世界文学 | 冷战、审查与意识形态体系,generated_from_generic,existing,stage,existing,yes
安德的游戏.md,WL-WORK-0414,T6,全球危机、平台化与类型融合，以“类型全球化与文类融合”为主要路径的形式突破节点（读前预判）,2008—2020：全球危机、平台化与类型融合,形式突破,类型全球化与文类融合 | 数字平台、气候与技术社会 | 全球市场、翻译与奖项,generated_from_generic,existing,mechanism,existing,yes
安息角.md,WL-WORK-2503,T5,文学爆炸与全球分叉，以“从欧洲中心到多中心世界文学”为主要路径的高峰节点（读前预判）,1965—1975：文学爆炸与全球分叉,高峰,从欧洲中心到多中心世界文学 | 冷战、审查与意识形态体系,generated_from_generic,existing,stage,existing,yes
安提戈涅.md,WL-WORK-1445,T0,史诗、经典与公共文学成熟的古希腊传统中，以“神话、宗教与仪式”为主要路径的成熟节点（读前预判）,古典形成：史诗、经典与公共文学成熟,成熟,神话、宗教与仪式 | 文字、书写与文本固定,generated_from_generic,existing,stage,existing,yes
