file,code,priority,tradition,tradition_source,stage,role,axis_t,axis_r,axis_m,axis_g,axis_q
太阳之屋.md,R4,△,欧洲文学综合—具体内部传统待读后校准,provisional_region,T6 当代全球文学 · 欧洲一体化、迁徙经验与当代重组,区域扩展阅读,T6 当代全球文学,R4 欧洲文学,M5 战后与当代美学范式,G3 小说,QT2 科幻
太阳传说.md,R6,△,前哥伦布—原住民文学传统,author_model,T2 早期现代文学 · 殖民编年、巴洛克与混合文化形成,区域扩展阅读,T2 早期现代文学,R6 拉丁美洲与加勒比,M1 早期现代思想与美学,G3 小说,QT9 神话、传说与民间叙事
太阳照常升起.md,R5,△,北美文学综合—具体内部传统待读后校准,provisional_region,T4 全球现代主义时代 · 现代主义、哈莱姆复兴与类型扩张,区域扩展阅读,T4 全球现代主义时代,R5 北美文学,M3.1 现代主义 / Modernism,G3 小说,QH2.1 爱情与欲望
太阳的胜利.md,R4,△,欧洲文学综合—具体内部传统待读后校准,provisional_region,T4 全球现代主义时代 · 战争危机、现代主义与先锋实验,区域扩展阅读,T4 全球现代主义时代,R4 欧洲文学,M3.2 先锋派,G3 小说,QH1 自我、存在与生命
太阳石.md,R6,◆,墨西哥—中美洲文学传统,existing,T6 当代全球文学 · 后独裁记忆、迁徙与跨国文学重组,殖民回应与民族文学建构,T6 当代全球文学,R6 拉丁美洲与加勒比,M5 战后与当代美学范式,G1 诗歌,QH5 权力、制度与秩序
失乐园.md,R2,△,东亚文学综合—具体内部传统待读后校准,provisional_region,T6 当代全球文学 · 都市经验、媒介转型与跨国传播,区域扩展阅读,T6 当代全球文学,R2 东亚文学,M5 战后与当代美学范式,G3 小说,QH2.1 爱情与欲望
失乐园（弥尔顿）.md,R4,★,英国—爱尔兰文学传统,existing,T2 早期现代文学 · 文艺复兴、宗教改革与印刷公共领域,源头与经典奠基,T2 早期现代文学,R4 欧洲文学,M1 早期现代思想与美学,G1 诗歌,QH8 信仰、伦理与超越
失明症漫记.md,R4,◆,伊比利亚文学传统,existing,T6 当代全球文学 · 欧洲一体化、迁徙经验与当代重组,文类形成与区域典范,T6 当代全球文学,R4 欧洲文学,M5 战后与当代美学范式,G3 小说,QH3 身份、身体与归属
失窃的信.md,R5,△,北美文学综合—具体内部传统待读后校准,provisional_region,T3 19世纪现代文学体系 · 国家文学、奴隶制回应与大众出版,区域扩展阅读,T3 19世纪现代文学体系,R5 北美文学,M2 19世纪文学思潮,G3 小说,QT1 推理与犯罪叙事
失落的世界.md,R4,△,欧洲文学综合—具体内部传统待读后校准,provisional_region,T4 全球现代主义时代 · 战争危机、现代主义与先锋实验,区域扩展阅读,T4 全球现代主义时代,R4 欧洲文学,M2 19世纪文学思潮,G3 小说,QT5 冒险与探索叙事
失落的继承.md,R3,△,南亚文学综合—具体内部传统待读后校准,provisional_region,T6 当代全球文学 · 全球南亚、英语写作与地方传统重组,离散迁徙与跨区域连接,T6 当代全球文学,R3 南亚文学,M5 战后与当代美学范式,G3 小说,QH3 身份、身体与归属
失落的继承.md,R10,★,南亚离散文学传统,existing,T6 当代全球文学 · 全球迁徙、数字传播与跨语文学网络,离散迁徙与跨区域连接,T6 当代全球文学,R3 南亚文学,M5 战后与当代美学范式,G3 小说,QH3 身份、身体与归属
失踪的足迹.md,R6,△,拉丁美洲与加勒比综合—具体内部传统待读后校准,provisional_region,T5 二战后多极文学 · 革命经验、文学爆炸与独裁回应,区域扩展阅读,T5 二战后多极文学,R6 拉丁美洲与加勒比,M5 战后与当代美学范式,G3 小说,QT5 冒险与探索叙事
失重的人.md,R6,△,拉丁美洲与加勒比综合—具体内部传统待读后校准,provisional_region,T6 当代全球文学 · 后独裁记忆、迁徙与跨国文学重组,区域扩展阅读,T6 当代全球文学,R6 拉丁美洲与加勒比,M5 战后与当代美学范式,G3 小说,QH5 权力、制度与秩序
夺牛长征记.md,R4,△,伊比利亚文学传统,author_model,T1 中古多中心文学世界 · 基督教、宫廷与俗语文学形成,区域扩展阅读,T1 中古多中心文学世界,R4 欧洲文学,,G3 小说,QT9 神话、传说与民间叙事
奇侠精忠传.md,R2,△,东亚文学综合—具体内部传统待读后校准,provisional_region,T6 当代全球文学 · 都市经验、媒介转型与跨国传播,区域扩展阅读,T6 当代全球文学,R2 东亚文学,M5 战后与当代美学范式,G3 小说,QT8 英雄、边疆与法外者文化传统 | QT8.1 武侠
奇兰·巴兰之书.md,R6,△,前哥伦布—原住民文学传统,author_model,T6 当代全球文学 · 后独裁记忆、迁徙与跨国文学重组,区域扩展阅读,T6 当代全球文学,R6 拉丁美洲与加勒比,M5 战后与当代美学范式,G3 小说,QH5 权力、制度与秩序
奇兰巴兰书.md,R6,△,前哥伦布—原住民文学传统,author_model,T2 早期现代文学 · 殖民编年、巴洛克与混合文化形成,区域扩展阅读,T2 早期现代文学,R6 拉丁美洲与加勒比,M1 早期现代思想与美学,G3 小说,QT9 神话、传说与民间叙事
奇异的力量.md,R6,△,拉丁美洲与加勒比综合—具体内部传统待读后校准,provisional_region,T6 当代全球文学 · 后独裁记忆、迁徙与跨国文学重组,区域扩展阅读,T6 当代全球文学,R6 拉丁美洲与加勒比,M5 战后与当代美学范式,G3 小说,QH5 权力、制度与秩序
奎勒备忘录.md,R4,△,欧洲文学综合—具体内部传统待读后校准,provisional_region,T5 二战后多极文学 · 战后重建、记忆政治与后现代转型,区域扩展阅读,T5 二战后多极文学,R4 欧洲文学,M5 战后与当代美学范式,G3 小说,QH6 战争、暴力与创伤
契诃夫短篇小说选.md,R4,△,欧洲文学综合—具体内部传统待读后校准,provisional_region,T4 全球现代主义时代 · 战争危机、现代主义与先锋实验,文类形成与区域典范,T4 全球现代主义时代,R4 欧洲文学,M2 19世纪文学思潮,G3 小说,QH1 自我、存在与生命 | QH4 社会、阶级与劳动
奔马.md,R2,△,东亚文学综合—具体内部传统待读后校准,provisional_region,T5 二战后多极文学 · 战争革命、国家文学与社会重构,区域扩展阅读,T5 二战后多极文学,R2 东亚文学,M5 战后与当代美学范式,G3 小说,QT8 英雄、边疆与法外者文化传统 | QT8.3 日本武士与剑豪
奥丽芙·基特里奇.md,R5,△,北美文学综合—具体内部传统待读后校准,provisional_region,T6 当代全球文学 · 多元身份、数字媒介与全球传播,区域扩展阅读,T6 当代全球文学,R5 北美文学,M5 战后与当代美学范式,G3 小说,QH3 身份、身体与归属
奥义书.md,R3,◆,梵语—吠陀与古典文学传统,existing,T6 当代全球文学 · 全球南亚、英语写作与地方传统重组,传统转型与区域扩展,T6 当代全球文学,R3 南亚文学,M5 战后与当代美学范式,G3 小说,QH5 权力、制度与秩序
奥之细道.md,R2,△,东亚文学综合—具体内部传统待读后校准,provisional_region,T2 早期现代文学 · 印刷扩展、通俗文类与文人传统成熟,区域扩展阅读,T2 早期现代文学,R2 东亚文学,M1 早期现代思想与美学,G6 纪实与文学非虚构,QT14 旅行与游记
奥兰多.md,R4,△,英国—爱尔兰文学传统,author_model,T6 当代全球文学 · 欧洲一体化、迁徙经验与当代重组,区域扩展阅读,T6 当代全球文学,R4 欧洲文学,M5.2 权力、身份与世界批评,G3 小说,QH7 历史、记忆与时间 | QH3 身份、身体与归属
奥勃洛莫夫.md,R4,△,欧洲文学综合—具体内部传统待读后校准,provisional_region,T3 19世纪现代文学体系 · 浪漫主义、现实主义与民族文学体系,区域扩展阅读,T3 19世纪现代文学体系,R4 欧洲文学,M2 19世纪文学思潮 / 现实主义 | M2 19世纪文学思潮,G3 小说,QH2.5 童年与成长
奥吉·马奇历险记.md,R5,△,北美文学综合—具体内部传统待读后校准,provisional_region,T5 二战后多极文学 · 战后反文化、族裔文学与媒介繁荣,区域扩展阅读,T5 二战后多极文学,R5 北美文学,M5 战后与当代美学范式,G3 小说,QH6 战争、暴力与创伤
奥尔拉.md,R4,△,欧洲文学综合—具体内部传统待读后校准,provisional_region,T3 19世纪现代文学体系 · 浪漫主义、现实主义与民族文学体系,区域扩展阅读,T3 19世纪现代文学体系,R4 欧洲文学,M2 19世纪文学思潮,G3 小说,QT4 恐怖与哥特
奥德赛.md,R1,△,古希腊文学传统,existing,T0 文学源头与古代文学 · 古代文字、史诗与经典传统形成,源头与经典奠基,T0 文学源头与古代文学,R1 西亚—地中海古老传统,,G3 小说,QT3 奇幻 | QT5 冒险与探索叙事 | QT9 神话、传说与民间叙事 | QH6 战争、暴力与创伤 | QT8 英雄、边疆与法外者文化传统 | QT8.8 海盗
奥扬泰.md,R6,◆,前哥伦布—原住民文学传统,existing,T6 当代全球文学 · 后独裁记忆、迁徙与跨国文学重组,文类形成与区域典范,T6 当代全球文学,R6 拉丁美洲与加勒比,M5 战后与当代美学范式,G2 戏剧,QH5 权力、制度与秩序
奥拉.md,R6,△,拉丁美洲与加勒比综合—具体内部传统待读后校准,provisional_region,T5 二战后多极文学 · 革命经验、文学爆炸与独裁回应,区域扩展阅读,T5 二战后多极文学,R6 拉丁美洲与加勒比,M5 战后与当代美学范式,G3 小说,QH5 权力、制度与秩序
奥斯卡·瓦奥短暂而奇妙的一生.md,R5,★,拉美裔—奇卡诺美国文学传统,existing,T6 当代全球文学 · 多元身份、数字媒介与全球传播,离散迁徙与跨区域连接,T6 当代全球文学,R10 跨区域文学传统 | R5 北美文学,M5 战后与当代美学范式,G3 小说,QH2.5 童年与成长 | QH2.3 家庭与家族
奥斯卡·瓦奥短暂而奇妙的一生.md,R10,★,全球移民—后殖民都市文学传统,existing,T6 当代全球文学 · 全球迁徙、数字传播与跨语文学网络,离散迁徙与跨区域连接,T6 当代全球文学,R10 跨区域文学传统 | R5 北美文学,M5 战后与当代美学范式,G3 小说,QH2.5 童年与成长 | QH2.3 家庭与家族
奥斯卡与露辛达.md,R9,△,澳大利亚殖民—国家文学传统,author_model,T6 当代全球文学 · 生态危机、移民社会与跨太平洋传播,殖民回应与民族文学建构,T6 当代全球文学,R9 大洋洲与太平洋,M5 战后与当代美学范式,G3 小说,QH3 身份、身体与归属
奥斯特利茨.md,R4,△,欧洲文学综合—具体内部传统待读后校准,provisional_region,T6 当代全球文学 · 欧洲一体化、迁徙经验与当代重组,区域扩展阅读,T6 当代全球文学,R4 欧洲文学,M5 战后与当代美学范式,G3 小说,QH7 历史、记忆与时间
奥秘匕首.md,R4,△,欧洲文学综合—具体内部传统待读后校准,provisional_region,T6 当代全球文学 · 欧洲一体化、迁徙经验与当代重组,源头与经典奠基,T6 当代全球文学,R4 欧洲文学,M5 战后与当代美学范式,G3 小说,QT3 奇幻
奥米昆莱的女仆.md,R6,△,拉丁美洲与加勒比综合—具体内部传统待读后校准,provisional_region,T6 当代全球文学 · 后独裁记忆、迁徙与跨国文学重组,区域扩展阅读,T6 当代全球文学,R6 拉丁美洲与加勒比,M5 战后与当代美学范式,G3 小说,QH5 权力、制度与秩序
奥贡·阿比比曼.md,R7,◆,口传—史诗与本土语言传统,existing,T6 当代全球文学 · 后殖民批判、城市经验与全球离散,语言、书写与媒介转型,T6 当代全球文学,R7 非洲文学,M5 战后与当代美学范式,G3 小说,QH5 权力、制度与秩序
奥赛罗.md,R4,△,英国—爱尔兰文学传统,author_model,T2 早期现代文学 · 文艺复兴、宗教改革与印刷公共领域,区域扩展阅读,T2 早期现代文学,R4 欧洲文学,M1 早期现代思想与美学,G2 戏剧,QH8 信仰、伦理与超越
奥麦罗斯.md,R6,★,英语加勒比文学传统,existing,T6 当代全球文学 · 后独裁记忆、迁徙与跨国文学重组,殖民回应与民族文学建构,T6 当代全球文学,R6 拉丁美洲与加勒比,M5 战后与当代美学范式,G1 诗歌,QH3 身份、身体与归属
女人的房间.md,R5,△,北美文学综合—具体内部传统待读后校准,provisional_region,T5 二战后多极文学 · 战后反文化、族裔文学与媒介繁荣,区域扩展阅读,T5 二战后多极文学,R5 北美文学,M5 战后与当代美学范式,G3 小说,QH6 战争、暴力与创伤
女仆.md,R4,△,欧洲文学综合—具体内部传统待读后校准,provisional_region,T5 二战后多极文学 · 战后重建、记忆政治与后现代转型,区域扩展阅读,T5 二战后多极文学,R4 欧洲文学,M5 战后与当代美学范式,G2 戏剧,QH6 战争、暴力与创伤
女凶手.md,R4,◆,现代希腊文学传统,existing,T6 当代全球文学 · 欧洲一体化、迁徙经验与当代重组,文类形成与区域典范,T6 当代全球文学,R4 欧洲文学,M5 战后与当代美学范式,G3 小说,QH5 权力、制度与秩序
女勇士.md,R5,★,亚裔美国文学传统,existing,T6 当代全球文学 · 多元身份、数字媒介与全球传播,核心经典与传统确立,T6 当代全球文学,R5 北美文学,M5 战后与当代美学范式,G5 生命书写,QH3 身份、身体与归属
女勇士.md,R10,★,华人—华语离散文学传统,existing,T6 当代全球文学 · 全球迁徙、数字传播与跨语文学网络,离散迁徙与跨区域连接,T6 当代全球文学,R5 北美文学,M5 战后与当代美学范式,G5 生命书写,QH3 身份、身体与归属
女孩们的沉默.md,R4,△,欧洲文学综合—具体内部传统待读后校准,provisional_region,T6 当代全球文学 · 欧洲一体化、迁徙经验与当代重组,文类形成与区域典范,T6 当代全球文学,R4 欧洲文学,M5 战后与当代美学范式,G3 小说,QT3 奇幻 | QT7 历史叙事
女孩，女人，其他.md,R4,△,欧洲文学综合—具体内部传统待读后校准,provisional_region,T6 当代全球文学 · 欧洲一体化、迁徙经验与当代重组,区域扩展阅读,T6 当代全球文学,R4 欧洲文学,M5 战后与当代美学范式,G3 小说,QH3 身份、身体与归属
女宾.md,R4,△,欧洲文学综合—具体内部传统待读后校准,provisional_region,T5 二战后多极文学 · 战后重建、记忆政治与后现代转型,区域扩展阅读,T5 二战后多极文学,R4 欧洲文学,M5.1 战后思想与美学范式,G3 小说,QH3 身份、身体与归属 | QH1 自我、存在与生命
女巫的预言.md,R4,△,伊比利亚文学传统,author_model,T1 中古多中心文学世界 · 基督教、宫廷与俗语文学形成,区域扩展阅读,T1 中古多中心文学世界,R4 欧洲文学,,G3 小说,QT9 神话、传说与民间叙事
女巫角.md,R5,△,北美文学综合—具体内部传统待读后校准,provisional_region,T4 全球现代主义时代 · 现代主义、哈莱姆复兴与类型扩张,区域扩展阅读,T4 全球现代主义时代,R5 北美文学,M3 现代主义与先锋派,G3 小说,QT1 推理与犯罪叙事
女性男人.md,R5,△,北美文学综合—具体内部传统待读后校准,provisional_region,T5 二战后多极文学 · 战后反文化、族裔文学与媒介繁荣,区域扩展阅读,T5 二战后多极文学,R5 北美文学,M5 战后与当代美学范式,G3 小说,QH6 战争、暴力与创伤
女王蜂.md,R2,△,东亚文学综合—具体内部传统待读后校准,provisional_region,T5 二战后多极文学 · 战争革命、国家文学与社会重构,区域扩展阅读,T5 二战后多极文学,R2 东亚文学,M5 战后与当代美学范式,G3 小说,QT1 推理与犯罪叙事
女神颂.md,R3,△,梵语—吠陀与古典文学传统,author_model,T0 文学源头与古代文学 · 吠陀、史诗与古典语言传统奠基,区域扩展阅读,T0 文学源头与古代文学,R3 南亚文学,,G3 小说,QT9 神话、传说与民间叙事
女英雄书简.md,R1,△,罗马与拉丁文学传统,existing,T0 文学源头与古代文学 · 古代文字、史诗与经典传统形成,区域扩展阅读,T0 文学源头与古代文学,R1 西亚—地中海古老传统,,G3 小说,QT9 神话、传说与民间叙事 | QH2.1 爱情与欲望
女雕塑家.md,R4,△,欧洲文学综合—具体内部传统待读后校准,provisional_region,T6 当代全球文学 · 欧洲一体化、迁徙经验与当代重组,区域扩展阅读,T6 当代全球文学,R4 欧洲文学,M5 战后与当代美学范式,G3 小说,QH3 身份、身体与归属
女面.md,R2,△,东亚文学综合—具体内部传统待读后校准,provisional_region,T5 二战后多极文学 · 战争革命、国家文学与社会重构,区域扩展阅读,T5 二战后多极文学,R2 东亚文学,M5 战后与当代美学范式,G3 小说,QH6 战争、暴力与创伤
她.md,R4,△,欧洲文学综合—具体内部传统待读后校准,provisional_region,T3 19世纪现代文学体系 · 浪漫主义、现实主义与民族文学体系,区域扩展阅读,T3 19世纪现代文学体系,R4 欧洲文学,M2 19世纪文学思潮,G3 小说,QT4 恐怖与哥特 | QT5 冒险与探索叙事
她乡.md,R5,△,北美文学综合—具体内部传统待读后校准,provisional_region,T4 全球现代主义时代 · 现代主义、哈莱姆复兴与类型扩张,区域扩展阅读,T4 全球现代主义时代,R5 北美文学,M3 现代主义与先锋派,G3 小说,QT6 乌托邦、反乌托邦与社会想象
她乡——中国女性科幻作品选.md,R2,△,东亚文学综合—具体内部传统待读后校准,provisional_region,T6 当代全球文学 · 都市经验、媒介转型与跨国传播,区域扩展阅读,T6 当代全球文学,R2 东亚文学,M5 战后与当代美学范式,G3 小说,QT2 科幻
她对此感到厌烦.md,R2,△,东亚文学综合—具体内部传统待读后校准,provisional_region,T6 当代全球文学 · 都市经验、媒介转型与跨国传播,文类形成与区域典范,T6 当代全球文学,R2 东亚文学,M5 战后与当代美学范式,G3 小说,QT3 奇幻 | QH2.1 爱情与欲望
她的烟雾永恒升起.md,R5,△,北美文学综合—具体内部传统待读后校准,provisional_region,T5 二战后多极文学 · 战后反文化、族裔文学与媒介繁荣,区域扩展阅读,T5 二战后多极文学,R5 北美文学,M5 战后与当代美学范式,G3 小说,QT2 科幻
好兵.md,R4,△,欧洲文学综合—具体内部传统待读后校准,provisional_region,T4 全球现代主义时代 · 战争危机、现代主义与先锋实验,区域扩展阅读,T4 全球现代主义时代,R4 欧洲文学,M3.1 现代主义 / Modernism,G3 小说,QH1 自我、存在与生命
好兵帅克.md,R4,★,中欧文学传统,existing,T4 全球现代主义时代 · 战争危机、现代主义与先锋实验,文类形成与区域典范,T4 全球现代主义时代,R4 欧洲文学,M3 现代主义与先锋派,G3 小说,QT5 冒险与探索叙事 | QH6 战争、暴力与创伤
好色一代男.md,R2,△,东亚文学综合—具体内部传统待读后校准,provisional_region,T2 早期现代文学 · 印刷扩展、通俗文类与文人传统成熟,区域扩展阅读,T2 早期现代文学,R2 东亚文学,M1 早期现代思想与美学,G3 小说,QH2.1 爱情与欲望
如今在十一月.md,R5,△,北美文学综合—具体内部传统待读后校准,provisional_region,T4 全球现代主义时代 · 现代主义、哈莱姆复兴与类型扩张,区域扩展阅读,T4 全球现代主义时代,R5 北美文学,M3 现代主义与先锋派,G3 小说,QH1 自我、存在与生命
如果在冬夜，一个旅人.md,R4,△,意大利文学传统,author_model,T5 二战后多极文学 · 战后重建、记忆政治与后现代转型,区域扩展阅读,T5 二战后多极文学,R4 欧洲文学,M5 战后与当代美学范式,G3 小说,QH6 战争、暴力与创伤
如果我们无法以光速前行.md,R2,△,东亚文学综合—具体内部传统待读后校准,provisional_region,T6 当代全球文学 · 都市经验、媒介转型与跨国传播,区域扩展阅读,T6 当代全球文学,R2 东亚文学,M5 战后与当代美学范式,G3 小说,QT2 科幻
如果我们梦想太久.md,R8,★,新加坡—海峡多语文学传统,existing,T6 当代全球文学 · 城市化、跨语写作与东南亚离散,文类形成与区域典范,T6 当代全球文学,R8 东南亚文学,M5 战后与当代美学范式,G3 小说,QH1 自我、存在与生命
如果我死在战区.md,R5,△,北美文学综合—具体内部传统待读后校准,provisional_region,T5 二战后多极文学 · 战后反文化、族裔文学与媒介繁荣,区域扩展阅读,T5 二战后多极文学,R5 北美文学,M5 战后与当代美学范式,G5 生命书写,QH6 战争、暴力与创伤
如果这是一个人.md,R4,△,意大利文学传统,author_model,T5 二战后多极文学 · 战后重建、记忆政治与后现代转型,区域扩展阅读,T5 二战后多极文学,R4 欧洲文学,M5 战后与当代美学范式,G3 小说,QH6 战争、暴力与创伤 | QH7 历史、记忆与时间
如此漫长的信.md,R7,★,西非法语文学传统,existing,T5 二战后多极文学 · 独立、去殖民化与国家文学建构,文类形成与区域典范,T5 二战后多极文学,R7 非洲文学,M5 战后与当代美学范式,G3 小说,QH2.1 爱情与欲望
姆温多史诗.md,R7,△,口传—史诗与本土语言传统,author_model,T5 二战后多极文学 · 独立、去殖民化与国家文学建构,语言、书写与媒介转型,T5 二战后多极文学,R7 非洲文学,M5 战后与当代美学范式,G3 小说,QT9 神话、传说与民间叙事
姑获鸟之夏.md,R2,△,东亚文学综合—具体内部传统待读后校准,provisional_region,T6 当代全球文学 · 都市经验、媒介转型与跨国传播,区域扩展阅读,T6 当代全球文学,R2 东亚文学,M5 战后与当代美学范式,G3 小说,QT1 推理与犯罪叙事
威克菲尔德的牧师.md,R4,△,欧洲文学综合—具体内部传统待读后校准,provisional_region,T2 早期现代文学 · 文艺复兴、宗教改革与印刷公共领域,区域扩展阅读,T2 早期现代文学,R4 欧洲文学,M1 早期现代思想与美学,G3 小说,QH8 信仰、伦理与超越 | QH2.3 家庭与家族
威兰.md,R5,◆,殖民地—清教徒与早期共和国文学传统,existing,T6 当代全球文学 · 多元身份、数字媒介与全球传播,殖民回应与民族文学建构,T6 当代全球文学,R5 北美文学,M5 战后与当代美学范式,G3 小说,QH5 权力、制度与秩序
威尼斯之死.md,R4,△,德语文学传统,author_model,T4 全球现代主义时代 · 战争危机、现代主义与先锋实验,区域扩展阅读,T4 全球现代主义时代,R4 欧洲文学,M3.1 现代主义 / Modernism,G3 小说,QH1 自我、存在与生命
威廉·迈斯特的学习时代.md,R4,△,德语文学传统,author_model,T2 早期现代文学 · 文艺复兴、宗教改革与印刷公共领域,区域扩展阅读,T2 早期现代文学,R4 欧洲文学,M2 19世纪文学思潮,G3 小说,QH2.5 童年与成长
威廉·迈斯特的漫游时代.md,R4,△,德语文学传统,author_model,T3 19世纪现代文学体系 · 浪漫主义、现实主义与民族文学体系,区域扩展阅读,T3 19世纪现代文学体系,R4 欧洲文学,M2 19世纪文学思潮,G3 小说,QH2.5 童年与成长
威弗利.md,R4,△,欧洲文学综合—具体内部传统待读后校准,provisional_region,T3 19世纪现代文学体系 · 浪漫主义、现实主义与民族文学体系,区域扩展阅读,T3 19世纪现代文学体系,R4 欧洲文学,M2 19世纪文学思潮,G3 小说,QT5 冒险与探索叙事 | QT7 历史叙事
娜嘉.md,R4,△,欧洲文学综合—具体内部传统待读后校准,provisional_region,T4 全球现代主义时代 · 战争危机、现代主义与先锋实验,区域扩展阅读,T4 全球现代主义时代,R4 欧洲文学,M3.2 先锋派,G3 小说,QH1 自我、存在与生命
娜娜.md,R4,△,欧洲文学综合—具体内部传统待读后校准,provisional_region,T3 19世纪现代文学体系 · 浪漫主义、现实主义与民族文学体系,区域扩展阅读,T3 19世纪现代文学体系,R4 欧洲文学,M2 19世纪文学思潮 | M2 19世纪文学思潮 / 自然主义,G3 小说,QH2.3 家庭与家族
嫂子们.md,R5,★,法语加拿大—魁北克文学传统,existing,T6 当代全球文学 · 多元身份、数字媒介与全球传播,殖民回应与民族文学建构,T6 当代全球文学,R5 北美文学,M5 战后与当代美学范式,G2 戏剧,QH5 权力、制度与秩序
嫉妒.md,R4,△,欧洲文学综合—具体内部传统待读后校准,provisional_region,T5 二战后多极文学 · 战后重建、记忆政治与后现代转型,区域扩展阅读,T5 二战后多极文学,R4 欧洲文学,M5 战后与当代美学范式 | M5.1 战后思想与美学范式,G3 小说,QH6 战争、暴力与创伤
嫌疑人X的献身.md,R2,△,东亚文学综合—具体内部传统待读后校准,provisional_region,T6 当代全球文学 · 都市经验、媒介转型与跨国传播,区域扩展阅读,T6 当代全球文学,R2 东亚文学,M5 战后与当代美学范式,G3 小说,QT1 推理与犯罪叙事
子夜.md,R2,△,东亚文学综合—具体内部传统待读后校准,provisional_region,T4 全球现代主义时代 · 殖民现代性、新文学与形式实验,区域扩展阅读,T4 全球现代主义时代,R2 东亚文学,M3 现代主义与先锋派 | M4 集体文学运动与文化政治,G3 小说,QH5 权力、制度与秩序
孟菲斯之召.md,R5,△,北美文学综合—具体内部传统待读后校准,provisional_region,T6 当代全球文学 · 多元身份、数字媒介与全球传播,区域扩展阅读,T6 当代全球文学,R5 北美文学,M5 战后与当代美学范式,G3 小说,QH3 身份、身体与归属
孤儿大师之子.md,R5,△,北美文学综合—具体内部传统待读后校准,provisional_region,T6 当代全球文学 · 多元身份、数字媒介与全球传播,区域扩展阅读,T6 当代全球文学,R5 北美文学,M5 战后与当代美学范式,G3 小说,QH3 身份、身体与归属
孤岛之谜.md,R2,△,东亚文学综合—具体内部传统待读后校准,provisional_region,T6 当代全球文学 · 都市经验、媒介转型与跨国传播,区域扩展阅读,T6 当代全球文学,R2 东亚文学,M5 战后与当代美学范式,G3 小说,QT1 推理与犯罪叙事
孤岛之鬼.md,R2,△,东亚文学综合—具体内部传统待读后校准,provisional_region,T4 全球现代主义时代 · 殖民现代性、新文学与形式实验,区域扩展阅读,T4 全球现代主义时代,R2 东亚文学,M3 现代主义与先锋派,G3 小说,QT1 推理与犯罪叙事
孤独的伦敦人.md,R6,★,英语加勒比文学传统,existing,T5 二战后多极文学 · 革命经验、文学爆炸与独裁回应,核心经典与传统确立,T5 二战后多极文学,R6 拉丁美洲与加勒比,M5 战后与当代美学范式,G3 小说,QH6 战争、暴力与创伤
孤独的迷宫.md,R6,△,墨西哥—中美洲文学传统,author_model,T6 当代全球文学 · 后独裁记忆、迁徙与跨国文学重组,区域扩展阅读,T6 当代全球文学,R6 拉丁美洲与加勒比,M5 战后与当代美学范式,G3 小说,QH5 权力、制度与秩序
孤独集.md,R4,△,欧洲文学综合—具体内部传统待读后校准,provisional_region,T2 早期现代文学 · 文艺复兴、宗教改革与印刷公共领域,区域扩展阅读,T2 早期现代文学,R4 欧洲文学,M1 早期现代思想与美学,G3 小说,QH1 自我、存在与生命
孤鸽镇.md,R5,△,北美文学综合—具体内部传统待读后校准,provisional_region,T6 当代全球文学 · 多元身份、数字媒介与全球传播,区域扩展阅读,T6 当代全球文学,R5 北美文学,M5 战后与当代美学范式,G3 小说,QT8 英雄、边疆与法外者文化传统 | QT8.5 西部
孩子，你别哭.md,R7,△,东非—斯瓦希里文学传统,author_model,T5 二战后多极文学 · 独立、去殖民化与国家文学建构,殖民回应与民族文学建构,T5 二战后多极文学,R7 非洲文学,M5 战后与当代美学范式 | M4 集体文学运动与文化政治,G3 小说,QH2.5 童年与成长 | QH6 战争、暴力与创伤
孪生兄弟.md,R1,◆,罗马与拉丁文学传统,existing,T0 文学源头与古代文学 · 古代文字、史诗与经典传统形成,传统转型与区域扩展,T0 文学源头与古代文学,R1 西亚—地中海古老传统,,G3 小说,QH8 信仰、伦理与超越
孽子.md,R2,△,东亚文学综合—具体内部传统待读后校准,provisional_region,T6 当代全球文学 · 都市经验、媒介转型与跨国传播,区域扩展阅读,T6 当代全球文学,R2 东亚文学,M3.1 现代主义 / Modernism,G3 小说,QH2.3 家庭与家族 | QH3.1 性别与身体
它.md,R5,△,北美文学综合—具体内部传统待读后校准,provisional_region,T6 当代全球文学 · 多元身份、数字媒介与全球传播,区域扩展阅读,T6 当代全球文学,R5 北美文学,M5 战后与当代美学范式,G3 小说,QT4 恐怖与哥特
宇宙云雀.md,R5,△,北美文学综合—具体内部传统待读后校准,provisional_region,T4 全球现代主义时代 · 现代主义、哈莱姆复兴与类型扩张,文类形成与区域典范,T4 全球现代主义时代,R5 北美文学,M3 现代主义与先锋派,G3 小说,QT2 科幻
宇宙奇趣.md,R4,△,意大利文学传统,author_model,T5 二战后多极文学 · 战后重建、记忆政治与后现代转型,区域扩展阅读,T5 二战后多极文学,R4 欧洲文学,M5.1 战后思想与美学范式,G3 小说,QH1 自我、存在与生命
宇宙奇趣全集.md,R4,△,意大利文学传统,author_model,T5 二战后多极文学 · 战后重建、记忆政治与后现代转型,区域扩展阅读,T5 二战后多极文学,R4 欧洲文学,M5 战后与当代美学范式,G3 小说,QH6 战争、暴力与创伤
守产人.md,R7,△,非洲文学综合—具体内部传统待读后校准,provisional_region,T5 二战后多极文学 · 独立、去殖民化与国家文学建构,区域扩展阅读,T5 二战后多极文学,R7 非洲文学,M5 战后与当代美学范式,G3 小说,QH5 权力、制度与秩序
