work,id,topic,priority,topic_affiliation,genealogy_position,topic_role,role_source
李尔王.md,WL-WORK-2827,M1,★,文艺复兴,文艺复兴展开与世俗主体形成 · 核心形成与典范确立,核心典范与形式确立,priority_core
杜伊诺哀歌.md,WL-WORK-1743,M3.1,★,德语—奥地利—中欧现代主义,中欧帝国危机与现代主义形成 · 传播扩散与跨地域转译,传播扩散与跨地域连接,mechanism_tag
杰米妮·拉瑟都.md,WL-WORK-M2-AD2374EACD38,M2,◆,自然主义,19世纪后期科学化与社会决定论 · 扩展、变体与后续发展,专题扩展与变体生成,priority_focus
林海雪原.md,WL-WORK-1745,M4,◆,社会主义现实主义,革命后制度化文学与国家文化政策 · 组织化与集体扩展,文学动员与共同体建构,mechanism_tag
柏林亚历山大广场.md,WL-WORK-1746,M3.1,★,德语—奥地利—中欧现代主义,中欧帝国危机与现代主义形成 · 核心形成与典范确立,核心典范与形式确立,priority_core
格列佛游记.md,WL-WORK-0260,M1,★,启蒙主义,启蒙公共领域与理性批判成熟 · 反拨、转型与再阐释,批判反拨与范式转型,mechanism_tag
桥.md,WL-WORK-1748,M3.1,★,美国与Harlem Renaissance,美国现代主义与黑人文化复兴 · 核心形成与典范确立,核心典范与形式确立,priority_core
梅子包.md,WL-WORK-M4-7db1b5f7,M4,◆,哈莱姆文艺复兴,1920年代黑人都市文化复兴 · 扩展、变体与后续发展,专题扩展与变体生成,priority_focus
梅雨之夕.md,WL-WORK-1749,M3.1,★,日本与中国现代主义,东亚现代性与新文学转型 · 核心形成与典范确立,核心典范与形式确立,priority_core
梦游之地.md,WL-WORK-3203,M5.1,★,魔幻现实主义,1940年代后现实层级重组与全球扩展 · 核心形成与典范确立,核心典范与形式确立,priority_core
梦游者.md,WL-WORK-1752,M3.1,★,德语—奥地利—中欧现代主义,中欧帝国危机与现代主义形成 · 核心形成与典范确立,核心典范与形式确立,priority_core
梦的故事.md,WL-WORK-1753,M3.1,◆,德语—奥地利—中欧现代主义,中欧帝国危机与现代主义形成 · 传播扩散与跨地域转译,传播扩散与跨地域连接,mechanism_tag
梦集.md,WL-WORK-M1-54303373,M1,◆,巴洛克,秩序危机与巴洛克复杂化 · 理论化与范式确立,理论阐释与范式建构,mechanism_tag
椅子.md,WL-WORK-M51-c0f9415283,M5.1,◆,荒诞,1950—1960年代语言与行动失效 · 扩展、变体与后续发展,专题扩展与变体生成,priority_focus
橡皮.md,WL-WORK-M51-5fdfd61a3b,M5.1,★,法国新小说,1950—1970年代再现与人物危机 · 反拨、转型与再阐释,批判反拨与范式转型,mechanism_tag
欧那尼.md,WL-WORK-2555,M2,★,浪漫主义,革命后浪漫主义形成与扩张 · 核心形成与典范确立,核心典范与形式确立,priority_core
歌与十四行诗.md,WL-WORK-M1-40141849,M1,◆,巴洛克,秩序危机与巴洛克复杂化 · 扩展、变体与后续发展,专题扩展与变体生成,priority_focus
歌集.md,WL-WORK-2086,M1,★,文艺复兴,文艺复兴展开与世俗主体形成 · 核心形成与典范确立,核心典范与形式确立,priority_core
死魂灵.md,WL-WORK-2838,M2,★,现实主义,19世纪中期现实主义成熟 · 核心形成与典范确立,核心典范与形式确立,priority_core
殖民者与被殖民者.md,WL-WORK-3229,M5.2,◆,后殖民,二战后帝国解体与表述政治形成 · 扩展、变体与后续发展,专题扩展与变体生成,priority_focus
毁灭.md,WL-WORK-M4-bc29e774,M4,◆,革命文学,革命动员与集体主体形成 · 组织化与集体扩展,文学动员与共同体建构,mechanism_tag
毁灭（法捷耶夫）.md,WL-WORK-M4-34f61be4,M4,★,社会主义现实主义,革命后制度化文学与国家文化政策 · 组织化与集体扩展,文学动员与共同体建构,mechanism_tag
母亲.md,WL-WORK-M4-c97899a3,M4,★,无产阶级文学,工业资本主义后阶级文学组织化 · 组织化与集体扩展,文学动员与共同体建构,mechanism_tag
毒木圣经.md,WL-WORK-0747,M5.2,◆,生态文学,环境危机进入文学世界建构与叙事实践 · 扩展、变体与后续发展,专题扩展与变体生成,priority_focus
毛猿.md,WL-WORK-1760,M3.1,★,美国与Harlem Renaissance,美国现代主义与黑人文化复兴 · 核心形成与典范确立,核心典范与形式确立,priority_core
民族之歌.md,WL-WORK-M4-285fc553,M4,★,民族主义文学,19世纪民族建构与语言文化共同体形成 · 组织化与集体扩展,文学动员与共同体建构,mechanism_tag
水泥.md,WL-WORK-M4-28ff2cac,M4,★,社会主义现实主义,革命后制度化文学与国家文化政策 · 组织化与集体扩展,文学动员与共同体建构,mechanism_tag
水镜.md,WL-WORK-M32-u6c34-u955c,M3.2,◆,伊比利亚与拉美先锋派,1920—1930年代跨大西洋先锋扩散 · 扩展、变体与后续发展,专题扩展与变体生成,priority_focus
汉堡剧评.md,WL-WORK-M1-19505670,M1,◆,启蒙主义,启蒙公共领域与理性批判成熟 · 理论化与范式确立,理论阐释与范式建构,mechanism_tag
汤姆·琼斯.md,WL-WORK-1178,M1,★,启蒙主义,启蒙公共领域与理性批判成熟 · 核心形成与典范确立,核心典范与形式确立,priority_core
汽油.md,WL-WORK-M4-fd629b27,M4,◆,垮掉的一代,1950年代反文化文学共同体 · 理论化与范式确立,理论阐释与范式建构,mechanism_tag
沙乡年鉴.md,WL-WORK-3263,M5.2,★,生态批评,20世纪后期环境危机与人类中心主义反思 · 组织化与集体扩展,文学动员与共同体建构,mechanism_tag
沙人.md,WL-WORK-0754,M2,★,浪漫主义,革命后浪漫主义形成与扩张 · 核心形成与典范确立,核心典范与形式确立,priority_core
没有个性的人.md,WL-WORK-1761,M3.1,★,德语—奥地利—中欧现代主义,中欧帝国危机与现代主义形成 · 核心形成与典范确立,核心典范与形式确立,priority_core
没有钱的犹太人.md,WL-WORK-M4-76df334e,M4,★,无产阶级文学,工业资本主义后阶级文学组织化 · 核心形成与典范确立,核心典范与形式确立,priority_core
河湾.md,WL-WORK-M4-aa0ce696,M4,◆,反殖民文学运动,二战后去殖民与民族解放文学 · 跨专题连接与转型,跨专题连接与范式转译,cross_membership
河湾.md,WL-WORK-M4-aa0ce696,M5.2,◆,后殖民,二战后帝国解体与表述政治形成 · 跨专题连接与转型,跨专题连接与范式转译,cross_membership
法国中尉的女人.md,WL-WORK-1183,M5.1,★,后现代主义,1960年代后文本权威、媒介与历史叙事危机 · 核心形成与典范确立,核心典范与形式确立,priority_core
波希米亚之光.md,WL-WORK-1766,M3.1,★,伊比利亚与意大利现代主义,南欧现代主义与先锋互动 · 核心形成与典范确立,核心典范与形式确立,priority_core
波斯人信札.md,WL-WORK-M1-86074587,M1,★,启蒙主义,启蒙公共领域与理性批判成熟 · 反拨、转型与再阐释,批判反拨与范式转型,mechanism_tag
泰蕾丝·拉甘.md,WL-WORK-M2-BEFE973B35DC,M2,◆,自然主义,19世纪后期科学化与社会决定论 · 扩展、变体与后续发展,专题扩展与变体生成,priority_focus
泽诺的意识.md,WL-WORK-1767,M3.1,★,伊比利亚与意大利现代主义,南欧现代主义与先锋互动 · 核心形成与典范确立,核心典范与形式确立,priority_core
洞中人.md,WL-WORK-1768,M3.1,◆,南亚、波斯与阿拉伯现代主义,殖民现代性与多语言文学转型 · 扩展、变体与后续发展,专题扩展与变体生成,priority_focus
洪水之年.md,WL-WORK-1185,M5.2,★,生态文学,环境危机进入文学世界建构与叙事实践 · 核心形成与典范确立,核心典范与形式确立,priority_core
流沙.md,WL-WORK-M4-ff70412e,M4,★,哈莱姆文艺复兴,1920年代黑人都市文化复兴 · 传播扩散与跨地域转译,传播扩散与跨地域连接,mechanism_tag
浅草红团.md,WL-WORK-1769,M3.1,★,日本与中国现代主义,东亚现代性与新文学转型 · 核心形成与典范确立,核心典范与形式确立,priority_core
浮云.md,WL-WORK-T3-UKIGUMO,M2,★,现实主义,19世纪中期现实主义成熟 · 核心形成与典范确立,核心典范与形式确立,priority_core
浮士德.md,WL-WORK-2834,M2,★,浪漫主义,革命后浪漫主义形成与扩张 · 核心形成与典范确立,核心典范与形式确立,priority_core
浮士德博士.md,WL-WORK-M1-66790275,M1,★,文艺复兴,文艺复兴展开与世俗主体形成 · 组织化与集体扩展,文学动员与共同体建构,mechanism_tag
海园.md,WL-WORK-1771,M3.1,◆,英国—爱尔兰现代主义,英爱高峰现代主义与形式革新 · 跨专题连接与转型,跨专题连接与范式转译,cross_membership
海园.md,WL-WORK-1771,M3.2,★,意象主义与漩涡主义,1910年代英语诗歌形式革新 · 跨专题连接与转型,跨专题连接与范式转译,cross_membership
海浪.md,WL-WORK-1773,M3.1,◆,英国—爱尔兰现代主义,英爱高峰现代主义与形式革新 · 扩展、变体与后续发展,专题扩展与变体生成,priority_focus
海风下.md,WL-WORK-3271,M5.2,◆,生态文学,环境危机进入文学世界建构与叙事实践 · 扩展、变体与后续发展,专题扩展与变体生成,priority_focus
海鸥.md,WL-WORK-1774,M3.1,★,19世纪前史,世纪末现代主义前史与形式酝酿 · 核心形成与典范确立,核心典范与形式确立,priority_core
消逝的足迹.md,WL-WORK-1776,M5.1,◆,魔幻现实主义,1940年代后现实层级重组与全球扩展 · 扩展、变体与后续发展,专题扩展与变体生成,priority_focus
淹没的世界.md,WL-WORK-0342,M5.2,★,生态文学,环境危机进入文学世界建构与叙事实践 · 核心形成与典范确立,核心典范与形式确立,priority_core
温柔的纽扣.md,WL-WORK-1779,M3.1,★,美国与Harlem Renaissance,美国现代主义与黑人文化复兴 · 核心形成与典范确立,核心典范与形式确立,priority_core
潘塔德乌什.md,WL-WORK-M4-e949a31c,M4,★,民族主义文学,19世纪民族建构与语言文化共同体形成 · 组织化与集体扩展,文学动员与共同体建构,mechanism_tag
澡堂.md,WL-WORK-M32-u6fa1-u5802,M3.2,★,构成主义、LEF与事实文学,革命后苏俄艺术生产与事实文学 · 反拨、转型与再阐释,批判反拨与范式转型,mechanism_tag
烟草经纪人.md,WL-WORK-M51-4b365a2f5c,M5.1,◆,后现代主义,1960年代后文本权威、媒介与历史叙事危机 · 扩展、变体与后续发展,专题扩展与变体生成,priority_focus
煤气.md,WL-WORK-M32-u7164-u6c14,M3.2,◆,德语表现主义,一战前后都市、战争与主体危机 · 组织化与集体扩展,文学动员与共同体建构,mechanism_tag
熙德.md,WL-WORK-M1-91482024,M1,★,古典主义,规则、宫廷与公共规范化 · 核心形成与典范确立,核心典范与形式确立,priority_core
爱米丽雅·迦洛蒂.md,WL-WORK-M1-65206800,M1,◆,启蒙主义,启蒙公共领域与理性批判成熟 · 反拨、转型与再阐释,批判反拨与范式转型,mechanism_tag
父与子.md,WL-WORK-1209,M2,★,现实主义,19世纪中期现实主义成熟 · 核心形成与典范确立,核心典范与形式确立,priority_core
特里尔塞.md,WL-WORK-1791,M3.1,★,拉丁美洲先锋与巴西Modernismo,拉美先锋与本土现代主义形成 · 跨专题连接与转型,跨专题连接与范式转译,cross_membership
特里尔塞.md,WL-WORK-1791,M3.2,★,伊比利亚与拉美先锋派,1920—1930年代跨大西洋先锋扩散 · 跨专题连接与转型,跨专题连接与范式转译,cross_membership
犀牛.md,WL-WORK-M51-80582334aa,M5.1,★,荒诞,1950—1960年代语言与行动失效 · 核心形成与典范确立,核心典范与形式确立,priority_core
玉米人.md,WL-WORK-1795,M5.1,★,魔幻现实主义,1940年代后现实层级重组与全球扩展 · 核心形成与典范确立,核心典范与形式确立,priority_core
玫瑰的名字.md,WL-WORK-0132,M5.1,★,后现代主义,1960年代后文本权威、媒介与历史叙事危机 · 核心形成与典范确立,核心典范与形式确立,priority_core
环境想象.md,WL-WORK-3264,M5.2,★,生态批评,20世纪后期环境危机与人类中心主义反思 · 核心形成与典范确立,核心典范与形式确立,priority_core
瓦尔登湖.md,WL-WORK-R5-013,M2,★,超验主义,19世纪中期美国精神独立与自然观重构 · 跨专题连接与转型,跨专题连接与范式转译,cross_membership
瓦尔登湖.md,WL-WORK-R5-013,M5.2,◆,生态批评,20世纪后期环境危机与人类中心主义反思 · 跨专题连接与转型,跨专题连接与范式转译,cross_membership
瓦解.md,WL-WORK-1215,M4,★,反殖民文学运动,二战后去殖民与民族解放文学 · 跨专题连接与转型,跨专题连接与范式转译,cross_membership
瓦解.md,WL-WORK-1215,M5.2,★,后殖民,二战后帝国解体与表述政治形成 · 跨专题连接与转型,跨专题连接与范式转译,cross_membership
甘蔗.md,WL-WORK-1801,M3.1,★,美国与Harlem Renaissance,美国现代主义与黑人文化复兴 · 跨专题连接与转型,跨专题连接与范式转译,cross_membership
甘蔗.md,WL-WORK-1801,M4,★,哈莱姆文艺复兴,1920年代黑人都市文化复兴 · 跨专题连接与转型,跨专题连接与范式转译,cross_membership
生命与希望之歌.md,WL-WORK-1802,M2,★,拉美 Modernismo,世纪末拉美现代主义前驱 · 反拨、转型与再阐释,批判反拨与范式转型,mechanism_tag
生态批评.md,WL-WORK-3265,M5.2,★,生态批评,20世纪后期环境危机与人类中心主义反思 · 理论化与范式确立,理论阐释与范式建构,mechanism_tag
生日晚会.md,WL-WORK-M51-19d917ba53,M5.1,◆,荒诞,1950—1960年代语言与行动失效 · 扩展、变体与后续发展,专题扩展与变体生成,priority_focus
生活是我的姐妹.md,WL-WORK-1804,M3.1,◆,俄罗斯与东欧现代主义,革命、帝国解体与东欧现代主义 · 组织化与集体扩展,文学动员与共同体建构,mechanism_tag
男性之间.md,WL-WORK-3256,M5.2,◆,酷儿,1980—1990年代后性别/性规范解构 · 扩展、变体与后续发展,专题扩展与变体生成,priority_focus
疯爱.md,WL-WORK-M32-u75af-u7231,M3.2,★,超现实主义,1920年代后无意识、自动书写与革命想象 · 核心形成与典范确立,核心典范与形式确立,priority_core
疯狂的奥兰多.md,WL-WORK-2578,M1,★,文艺复兴,文艺复兴展开与世俗主体形成 · 核心形成与典范确立,核心典范与形式确立,priority_core
疯癫亚当.md,WL-WORK-1220,M5.2,◆,生态文学,环境危机进入文学世界建构与叙事实践 · 扩展、变体与后续发展,专题扩展与变体生成,priority_focus
疲倦的布鲁斯.md,WL-WORK-1806,M3.1,★,美国与Harlem Renaissance,美国现代主义与黑人文化复兴 · 核心形成与典范确立,核心典范与形式确立,priority_core
疲惫的布鲁斯.md,WL-WORK-M4-37d1b0bf,M4,★,哈莱姆文艺复兴,1920年代黑人都市文化复兴 · 理论化与范式确立,理论阐释与范式建构,mechanism_tag
痛苦之都.md,WL-WORK-M32-u75db-u82e6-u4e4b-u90fd,M3.2,★,超现实主义,1920年代后无意识、自动书写与革命想象 · 核心形成与典范确立,核心典范与形式确立,priority_core
痴人之爱.md,WL-WORK-1807,M3.1,★,日本与中国现代主义,东亚现代性与新文学转型 · 传播扩散与跨地域转译,传播扩散与跨地域连接,mechanism_tag
痴儿西木传.md,WL-WORK-2105,M1,★,巴洛克,秩序危机与巴洛克复杂化 · 核心形成与典范确立,核心典范与形式确立,priority_core
瘾君子.md,WL-WORK-M4-02930f49,M4,◆,垮掉的一代,1950年代反文化文学共同体 · 扩展、变体与后续发展,专题扩展与变体生成,priority_focus
白噪音.md,WL-WORK-M51-33a628cd0c,M5.1,★,后现代主义,1960年代后文本权威、媒介与历史叙事危机 · 核心形成与典范确立,核心典范与形式确立,priority_core
白雪公主.md,WL-WORK-M51-6cd69c518c,M5.1,◆,后现代主义,1960年代后文本权威、媒介与历史叙事危机 · 扩展、变体与后续发展,专题扩展与变体生成,priority_focus
白鲸.md,WL-WORK-T3-MOBY-DICK,M2,★,超验主义,19世纪中期美国精神独立与自然观重构 · 跨专题连接与转型,跨专题连接与范式转译,cross_membership
白鲸.md,WL-WORK-T3-MOBY-DICK,M5.2,◆,生态文学,环境危机进入文学世界建构与叙事实践 · 跨专题连接与转型,跨专题连接与范式转译,cross_membership
百头女.md,WL-WORK-M32-u767e-u5934-u5973,M3.2,◆,超现实主义,1920年代后无意识、自动书写与革命想象 · 扩展、变体与后续发展,专题扩展与变体生成,priority_focus
百年孤独.md,WL-WORK-1225,M4,★,拉丁美洲Boom,1960—1970年代跨国出版与全球文学网络 · 传播扩散与跨地域转译,传播扩散与跨地域连接,mechanism_tag
百年孤独.md,WL-WORK-1225,M5.1,★,魔幻现实主义,1940年代后现实层级重组与全球扩展 · 跨专题连接与转型,跨专题连接与范式转译,cross_membership
百科全书.md,WL-WORK-M1-25849766,M1,★,启蒙主义,启蒙公共领域与理性批判成熟 · 传播扩散与跨地域转译,传播扩散与跨地域连接,mechanism_tag
盐的代价.md,WL-WORK-2106,M5.2,★,酷儿,1980—1990年代后性别/性规范解构 · 核心形成与典范确立,核心典范与形式确立,priority_core
盲枭.md,WL-WORK-1812,M3.1,★,南亚、波斯与阿拉伯现代主义,殖民现代性与多语言文学转型 · 核心形成与典范确立,核心典范与形式确立,priority_core
短裤党.md,WL-WORK-M4-fb739dbf,M4,◆,革命文学,革命动员与集体主体形成 · 组织化与集体扩展,文学动员与共同体建构,mechanism_tag
石油！.md,WL-WORK-M4-3f6ddb21,M4,◆,无产阶级文学,工业资本主义后阶级文学组织化 · 扩展、变体与后续发展,专题扩展与变体生成,priority_focus
矿井.md,WL-WORK-M4-4f9272b9,M4,◆,无产阶级文学,工业资本主义后阶级文学组织化 · 扩展、变体与后续发展,专题扩展与变体生成,priority_focus
磁场.md,WL-WORK-M32-u78c1-u573a,M3.2,★,超现实主义,1920年代后无意识、自动书写与革命想象 · 核心形成与典范确立,核心典范与形式确立,priority_core
社会契约论.md,WL-WORK-M1-82629482,M1,★,启蒙主义,启蒙公共领域与理性批判成熟 · 核心形成与典范确立,核心典范与形式确立,priority_core
神圣十四行诗.md,WL-WORK-M1-72346801,M1,★,巴洛克,秩序危机与巴洛克复杂化 · 核心形成与典范确立,核心典范与形式确立,priority_core
神的木片.md,WL-WORK-1816,M4,★,反殖民文学运动,二战后去殖民与民族解放文学 · 组织化与集体扩展,文学动员与共同体建构,mechanism_tag
神箭.md,WL-WORK-1817,M4,★,反殖民文学运动,二战后去殖民与民族解放文学 · 跨专题连接与转型,跨专题连接与范式转译,cross_membership
神箭.md,WL-WORK-1817,M5.2,◆,后殖民,二战后帝国解体与表述政治形成 · 跨专题连接与转型,跨专题连接与范式转译,cross_membership
禁闭.md,WL-WORK-1818,M5.1,★,存在主义,1940—1950年代主体、自由与责任危机 · 核心形成与典范确立,核心典范与形式确立,priority_core
福尔图娜塔和哈辛塔.md,WL-WORK-M2-F5E4543D5D1C,M2,◆,现实主义,19世纪中期现实主义成熟 · 扩展、变体与后续发展,专题扩展与变体生成,priority_focus
秃头歌女.md,WL-WORK-1820,M5.1,★,荒诞,1950—1960年代语言与行动失效 · 核心形成与典范确立,核心典范与形式确立,priority_core
穷人的基督.md,WL-WORK-M4-fa1182a9,M4,★,反殖民文学运动,二战后去殖民与民族解放文学 · 核心形成与典范确立,核心典范与形式确立,priority_core
窥视者.md,WL-WORK-M51-5c01fd3d83,M5.1,◆,法国新小说,1950—1970年代再现与人物危机 · 扩展、变体与后续发展,专题扩展与变体生成,priority_focus
章鱼.md,WL-WORK-M2-A53123CA7A84,M2,◆,自然主义,19世纪后期科学化与社会决定论 · 扩展、变体与后续发展,专题扩展与变体生成,priority_focus
笑的咒语.md,WL-WORK-M32-u7b11-u7684-u5492-u8bed,M3.2,◆,俄国未来主义,1910年代革命前后的语言与形式激进化 · 扩展、变体与后续发展,专题扩展与变体生成,priority_focus
第一梦（索尔·胡安娜）.md,WL-WORK-T2-PRIMERO-SUENO,M1,★,巴洛克,秩序危机与巴洛克复杂化 · 核心形成与典范确立,核心典范与形式确立,priority_core
第二性.md,WL-WORK-3242,M5.2,★,女性主义,20世纪女性解放运动与文学批评制度化 · 核心形成与典范确立,核心典范与形式确立,priority_core
第五号屠宰场.md,WL-WORK-M51-88303479fc,M5.1,★,后现代主义,1960年代后文本权威、媒介与历史叙事危机 · 核心形成与典范确立,核心典范与形式确立,priority_core
第五季.md,WL-WORK-0481,M5.2,★,生态文学,环境危机进入文学世界建构与叙事实践 · 核心形成与典范确立,核心典范与形式确立,priority_core
等待戈多.md,WL-WORK-1825,M5.1,★,荒诞,1950—1960年代语言与行动失效 · 核心形成与典范确立,核心典范与形式确立,priority_core
答索尔·菲洛泰亚修女.md,WL-WORK-M1-83519191,M1,★,巴洛克,秩序危机与巴洛克复杂化 · 核心形成与典范确立,核心典范与形式确立,priority_core
米德尔马契.md,WL-WORK-1244,M2,★,现实主义,19世纪中期现实主义成熟 · 传播扩散与跨地域转译,传播扩散与跨地域连接,mechanism_tag
紫色.md,WL-WORK-3250,M5.2,★,女性主义,20世纪女性解放运动与文学批评制度化 · 核心形成与典范确立,核心典范与形式确立,priority_core
红与黑.md,WL-WORK-1250,M2,★,现实主义,19世纪中期现实主义成熟 · 核心形成与典范确立,核心典范与形式确立,priority_core
红字.md,WL-WORK-1251,M2,◆,超验主义,19世纪中期美国精神独立与自然观重构 · 扩展、变体与后续发展,专题扩展与变体生成,priority_focus
红岩.md,WL-WORK-M4-476e5494,M4,◆,社会主义现实主义,革命后制度化文学与国家文化政策 · 组织化与集体扩展,文学动员与共同体建构,mechanism_tag
红高粱家族.md,WL-WORK-1255,M5.1,★,魔幻现实主义,1940年代后现实层级重组与全球扩展 · 核心形成与典范确立,核心典范与形式确立,priority_core
纽约2140.md,WL-WORK-0429,M5.2,◆,生态文学,环境危机进入文学世界建构与叙事实践 · 扩展、变体与后续发展,专题扩展与变体生成,priority_focus
纽约三部曲.md,WL-WORK-M51-d7d1a6e0b0,M5.1,★,后现代主义,1960年代后文本权威、媒介与历史叙事危机 · 反拨、转型与再阐释,批判反拨与范式转型,mechanism_tag
纽约诗人.md,WL-WORK-1829,M3.1,★,伊比利亚与意大利现代主义,南欧现代主义与先锋互动 · 传播扩散与跨地域转译,传播扩散与跨地域连接,mechanism_tag
织工.md,WL-WORK-0801,M2,★,自然主义,19世纪后期科学化与社会决定论 · 核心形成与典范确立,核心典范与形式确立,priority_core
终局.md,WL-WORK-M51-4702c8fb5b,M5.1,★,荒诞,1950—1960年代语言与行动失效 · 核心形成与典范确立,核心典范与形式确立,priority_core
给公众趣味一记耳光.md,WL-WORK-M32-u7ed9-u516c-u4f17-u8da3-u5473-u4e00-u8bb0-u8033-u5149,M3.2,★,俄国未来主义,1910年代革命前后的语言与形式激进化 · 理论化与范式确立,理论阐释与范式建构,mechanism_tag
维吉尔之死.md,WL-WORK-1832,M3.1,◆,德语—奥地利—中欧现代主义,中欧帝国危机与现代主义形成 · 扩展、变体与后续发展,专题扩展与变体生成,priority_focus
维纳斯先生.md,WL-WORK-M2-F68585117B0F,M2,◆,颓废主义,世纪末颓废意识与文化危机 · 扩展、变体与后续发展,专题扩展与变体生成,priority_focus
绿房子.md,WL-WORK-1833,M4,◆,拉丁美洲Boom,1960—1970年代跨国出版与全球文学网络 · 扩展、变体与后续发展,专题扩展与变体生成,priority_focus
罗森格兰兹与吉尔登斯吞死了.md,WL-WORK-M51-797919bb65,M5.1,★,荒诞,1950—1960年代语言与行动失效 · 核心形成与典范确立,核心典范与形式确立,priority_core
罪与罚.md,WL-WORK-2839,M2,★,现实主义,19世纪中期现实主义成熟 · 核心形成与典范确立,核心典范与形式确立,priority_core
羊泉村.md,WL-WORK-R4-羊泉村,M1,◆,文艺复兴,文艺复兴展开与世俗主体形成 · 组织化与集体扩展,文学动员与共同体建构,mechanism_tag
美国通用棒球协会.md,WL-WORK-M51-e08ec5b6ba,M5.1,◆,后现代主义,1960年代后文本权威、媒介与历史叙事危机 · 扩展、变体与后续发展,专题扩展与变体生成,priority_focus
羚羊与秧鸡.md,WL-WORK-0364,M5.2,★,生态文学,环境危机进入文学世界建构与叙事实践 · 核心形成与典范确立,核心典范与形式确立,priority_core
羞耻.md,WL-WORK-M51-94134b29b7,M5.1,◆,魔幻现实主义,1940年代后现实层级重组与全球扩展 · 扩展、变体与后续发展,专题扩展与变体生成,priority_focus
群众与人.md,WL-WORK-M32-u7fa4-u4f17-u4e0e-u4eba,M3.2,★,德语表现主义,一战前后都市、战争与主体危机 · 组织化与集体扩展,文学动员与共同体建构,mechanism_tag
老实人.md,WL-WORK-2122,M1,★,启蒙主义,启蒙公共领域与理性批判成熟 · 反拨、转型与再阐释,批判反拨与范式转型,mechanism_tag
肮脏的手.md,WL-WORK-M51-04d22152ad,M5.1,◆,存在主义,1940—1950年代主体、自由与责任危机 · 扩展、变体与后续发展,专题扩展与变体生成,priority_focus
胡里痕的凯瑟琳.md,WL-WORK-M4-d1f7cc26,M4,◆,民族主义文学,19世纪民族建构与语言文化共同体形成 · 组织化与集体扩展,文学动员与共同体建构,mechanism_tag
脊椎笛.md,WL-WORK-M32-u810a-u690e-u7b1b,M3.2,◆,俄国未来主义,1910年代革命前后的语言与形式激进化 · 扩展、变体与后续发展,专题扩展与变体生成,priority_focus
自然.md,WL-WORK-M2-D63F619942B9,M2,★,超验主义,19世纪中期美国精神独立与自然观重构 · 核心形成与典范确立,核心典范与形式确立,priority_core
自由之路.md,WL-WORK-M51-22f7f3a179,M5.1,◆,存在主义,1940—1950年代主体、自由与责任危机 · 扩展、变体与后续发展,专题扩展与变体生成,priority_focus
自由或爱情.md,WL-WORK-M32-u81ea-u7531-u6216-u7231-u60c5,M3.2,★,超现实主义,1920年代后无意识、自动书写与革命想象 · 核心形成与典范确立,核心典范与形式确立,priority_core
臭虫.md,WL-WORK-M32-u81ed-u866b,M3.2,★,构成主义、LEF与事实文学,革命后苏俄艺术生产与事实文学 · 组织化与集体扩展,文学动员与共同体建构,mechanism_tag
致安娜·布鲁姆.md,WL-WORK-M32-u81f4-u5b89-u5a1c-xb7-u5e03-u9c81-u59c6,M3.2,★,达达主义,一战时期反艺术与制度否定 · 核心形成与典范确立,核心典范与形式确立,priority_core
艺术的非人化.md,WL-WORK-1840,M3.1,◆,伊比利亚与意大利现代主义,南欧现代主义与先锋互动 · 扩展、变体与后续发展,专题扩展与变体生成,priority_focus
艾凡赫.md,WL-WORK-0818,M2,★,浪漫主义,革命后浪漫主义形成与扩张 · 组织化与集体扩展,文学动员与共同体建构,mechanism_tag
芒博琼博.md,WL-WORK-M51-4ed979b46f,M5.1,◆,后现代主义,1960年代后文本权威、媒介与历史叙事危机 · 扩展、变体与后续发展,专题扩展与变体生成,priority_focus
芬尼根的守灵夜.md,WL-WORK-1841,M3.1,◆,英国—爱尔兰现代主义,英爱高峰现代主义与形式革新 · 传播扩散与跨地域转译,传播扩散与跨地域连接,mechanism_tag
花园茶会.md,WL-WORK-1842,M3.1,★,英国—爱尔兰现代主义,英爱高峰现代主义与形式革新 · 核心形成与典范确立,核心典范与形式确立,priority_core
苔丝.md,WL-WORK-M2-BC0CFCDA33D7,M2,★,自然主义,19世纪后期科学化与社会决定论 · 核心形成与典范确立,核心典范与形式确立,priority_core
苦力.md,WL-WORK-1843,M3.1,★,南亚、波斯与阿拉伯现代主义,殖民现代性与多语言文学转型 · 核心形成与典范确立,核心典范与形式确立,priority_core
茫茫黑夜漫游.md,WL-WORK-1844,M3.1,★,法国现代主义,法国都市现代性与文学实验 · 传播扩散与跨地域转译,传播扩散与跨地域连接,mechanism_tag
草叶集.md,WL-WORK-3167,M2,★,超验主义,19世纪中期美国精神独立与自然观重构 · 核心形成与典范确立,核心典范与形式确立,priority_core
荒凉山庄.md,WL-WORK-2835,M2,★,现实主义,19世纪中期现实主义成熟 · 核心形成与典范确立,核心典范与形式确立,priority_core
荒原.md,WL-WORK-1845,M3.1,★,英国—爱尔兰现代主义,英爱高峰现代主义与形式革新 · 核心形成与典范确立,核心典范与形式确立,priority_core
莎乐美.md,WL-WORK-M2-C96C61511958,M2,★,颓废主义,世纪末颓废意识与文化危机 · 核心形成与典范确立,核心典范与形式确立,priority_core
莎士比亚十四行诗.md,WL-WORK-2126,M1,◆,文艺复兴,文艺复兴展开与世俗主体形成 · 扩展、变体与后续发展,专题扩展与变体生成,priority_focus
